name,test_incremental/macro_example/f1/mean,test_incremental_only/macro_types/f1/mean,test_pretraining/macro_example/recall/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_example/recall/mean,test/micro/precision/mean,test_pretraining/macro_types/f1/mean,test_incremental_broadcast/macro_types/f1/mean,threshold_pretraining/mean,test_pretraining/micro/recall/mean,test_pretraining/macro_types/recall/mean,test_pretraining/macro_types/precision/mean,test_incremental_only/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/precision/mean,test/macro_types/recall/mean,test_incremental/macro_example_exclusive/precision/mean,test_incremental_broadcast-tv_channel/macro_types/f1/mean,test_incremental_only/micro/f1/mean,test_pretraining/micro/precision/mean,test_pretraining/micro/f1/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,epoch/mean,test/macro_example/recall/mean,test/micro/recall/mean,test_incremental_only/macro_types/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test_incremental_broadcast-tv_channel/macro_types/precision/mean,test_incremental_only/micro/precision/mean,test_incremental/macro_example/precision/mean,test_incremental_only/micro/recall/mean,test/micro/f1/mean,test/macro_example/f1/mean,test_incremental/micro/recall/mean,test_incremental/macro_example/recall/mean,test/macro_types/f1/mean,test_incremental/macro_example_exclusive/f1/mean,test_incremental_broadcast/macro_types/recall/mean,test_incremental/micro/f1/mean,test/macro_types/precision/mean,test_incremental_broadcast-tv_channel/macro_types/recall/mean,threshold_incremental/mean,test_incremental_only/macro_types/recall/mean,test_pretraining/macro_example/precision/mean,test_incremental/macro_types/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental/micro/precision/mean,test_incremental/macro_types/precision/mean,test_incremental_broadcast/macro_types/precision/mean,test/macro_example/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,test_incremental/macro_example/f1/std,test_incremental_only/macro_types/f1/std,test_pretraining/macro_example/recall/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_example/recall/std,test/micro/precision/std,test_pretraining/macro_types/f1/std,test_incremental_broadcast/macro_types/f1/std,threshold_pretraining/std,test_pretraining/micro/recall/std,test_pretraining/macro_types/recall/std,test_pretraining/macro_types/precision/std,test_incremental_only/macro_example/precision/std,test_incremental_only/macro_example_exclusive/precision/std,test/macro_types/recall/std,test_incremental/macro_example_exclusive/precision/std,test_incremental_broadcast-tv_channel/macro_types/f1/std,test_incremental_only/micro/f1/std,test_pretraining/micro/precision/std,test_pretraining/micro/f1/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example_exclusive/f1/std,epoch/std,test/macro_example/recall/std,test/micro/recall/std,test_incremental_only/macro_types/precision/std,test_incremental/macro_example_exclusive/recall/std,test_incremental_broadcast-tv_channel/macro_types/precision/std,test_incremental_only/micro/precision/std,test_incremental/macro_example/precision/std,test_incremental_only/micro/recall/std,test/micro/f1/std,test/macro_example/f1/std,test_incremental/micro/recall/std,test_incremental/macro_example/recall/std,test/macro_types/f1/std,test_incremental/macro_example_exclusive/f1/std,test_incremental_broadcast/macro_types/recall/std,test_incremental/micro/f1/std,test/macro_types/precision/std,test_incremental_broadcast-tv_channel/macro_types/recall/std,threshold_incremental/std,test_incremental_only/macro_types/recall/std,test_pretraining/macro_example/precision/std,test_incremental/macro_types/f1/std,test_pretraining/macro_example/f1/std,test_incremental/micro/precision/std,test_incremental/macro_types/precision/std,test_incremental_broadcast/macro_types/precision/std,test/macro_example/precision/std,test_incremental_only/macro_example_exclusive/recall/std
no_init_box_adapter_bert_ms,0.006958942394703627,0.681375245253245,0.9072257280349731,0.010438414290547373,0.010438414290547373,0.8998443881670634,0.8501787384351095,0.0,0.25,0.8813596367835999,0.8198940753936768,0.8827868700027466,0.010438414290547373,1.0,0.8198940753936768,1.0,0.681375245253245,0.681375245253245,0.8998443881670634,0.890505830446879,0.5,1.0,51.666666666666664,0.9072257280349731,0.8813596367835999,0.5179639955361685,0.5,0.5179639955361685,0.5179639955361685,0.010438414290547373,1.0,0.890505830446879,0.9153464833895365,0.5,0.0052192071452736855,0.8501787384351095,0.6666666865348816,0.0,0.5079313516616821,0.8827868700027466,1.0,0.12666666666666668,1.0,0.9236140251159668,0.3406876226266225,0.9153464833895365,0.5179639955361685,0.2589819977680842,0.0,0.9236140251159668,1.0,0.0,0.04621596257337612,0.0,0.0,0.0,0.0012305020693748566,0.00048931036954611,0.0,0.0,0.0,0.0,0.0010549507340706042,0.0,0.0,0.0,0.0,0.04621596257337612,0.04621596257337612,0.0012305020693748566,0.0006026440772099919,0.0,0.0,28.29016319029166,0.0,0.0,0.05274787132110738,0.0,0.05274787132110738,0.05274787132110738,0.0,0.0,0.0006026440772099919,0.00015848960600665446,0.0,0.0,0.00048931036954611,0.0,0.0,0.02583605858980158,0.0010549507340706042,0.0,0.05507570547286103,0.0,0.00032272860469669467,0.02310798128668806,0.00015848960600665446,0.05274787132110738,0.026373935660553703,0.0,0.00032272860469669467,0.0
no_init_box_kenn_bottom_up_adapter_bert_ms,0.006958942394703627,0.6651304960250854,0.9072257280349731,0.010438414290547373,0.010438414290547373,0.8994410236676534,0.8500008384386698,0.0,0.25,0.8813596367835999,0.8198940753936768,0.8824031154314677,0.010438414290547373,1.0,0.8198940753936768,1.0,0.6651304960250854,0.6651304960250854,0.8994410236676534,0.8903084397315979,0.5,1.0,68.0,0.9072257280349731,0.8813596367835999,0.49877628684043884,0.5,0.49877628684043884,0.49877628684043884,0.010438414290547373,1.0,0.8903084397315979,0.9152952631314596,0.5,0.0052192071452736855,0.8500008384386698,0.6666666865348816,0.0,0.4990074237187703,0.8824031154314677,1.0,0.043333333333333335,1.0,0.9235096573829651,0.3325652480125427,0.9152952631314596,0.49877628684043884,0.24938814342021942,0.0,0.9235096573829651,1.0,0.0,0.03007198061174526,0.0,0.0,0.0,0.0008377152062434629,0.00031048734189751044,0.0,0.0,0.0,0.0,0.00066918145661357,0.0,0.0,0.0,0.0,0.03007198061174526,0.03007198061174526,0.0008377152062434629,0.0004104847775977764,0.0,0.0,28.21347195933177,0.0,0.0,0.03345995933594145,0.0,0.03345995933594145,0.03345995933594145,0.0,0.0,0.0004104847775977764,0.00010724638629981594,0.0,0.0,0.00031048734189751044,0.0,0.0,0.01701564392546549,0.00066918145661357,0.0,0.03214550253664318,0.0,0.00021831593168032549,0.01503599030587263,0.00010724638629981594,0.03345995933594145,0.01672997966797074,0.0,0.00021831593168032549,0.0
no_init_box_kenn_horizontal_adapter_bert_ms,0.006417691397170226,0.7377740740776062,0.9070150057474772,0.009626537250975767,0.009626537250975767,0.902014950911204,0.8502930204073588,0.0,0.25,0.8808479507764181,0.8183385133743286,0.8848485151926676,0.009626537250975767,0.9222222566604614,0.8183385133743286,0.9222222566604614,0.7377740740776062,0.7377740740776062,0.902014950911204,0.8913052678108215,0.4611111084620158,0.9222222566604614,66.0,0.9070150057474772,0.8808479507764181,0.6210464040438334,0.4611111283302307,0.6210464040438334,0.6210464040438334,0.009626537250975767,0.9222222169240316,0.8913052678108215,0.9154773553212484,0.4611111084620158,0.004813268625487884,0.8502930204073588,0.6148148576418558,0.0,0.5260477662086487,0.8848485151926676,0.9222222169240316,0.03666666666666666,0.9222222169240316,0.9240992069244385,0.3688870370388031,0.9154773553212484,0.6210464040438334,0.3105232020219167,0.0,0.9240992069244385,0.9222222566604614,0.0007456623829578342,0.02209191720781142,0.00027081365816822745,0.001118493779655774,0.001118493779655774,0.001051376337030916,0.0007882074443988088,0.0,0.0,0.0007049382154348095,0.002143035785193172,0.0010193304952802683,0.001118493779655774,0.10715164092219513,0.002143035785193172,0.10715164092219513,0.02209191720781142,0.02209191720781142,0.001051376337030916,0.00024421746884688614,0.05357583127734695,0.10715164092219513,14.730919862656235,0.00027081365816822745,0.0007049382154348095,0.05096718694063467,0.05357582046109755,0.05096718694063467,0.05096718694063467,0.001118493779655774,0.1071516625546939,0.00024421746884688614,7.492316493099582e-05,0.05357583127734695,0.000559246889827887,0.0007882074443988088,0.07143441182967888,0.0,0.023967576263814717,0.0010193304952802683,0.1071516625546939,0.02886751345948128,0.1071516625546939,0.00019698814790638364,0.01104595860390571,7.492316493099582e-05,0.05096718694063467,0.025483593470317336,0.0,0.00019698814790638364,0.10715164092219513
no_init_box_kenn_hybrid_adapter_bert_ms,0.006958942394703627,0.6651304960250854,0.9072257280349731,0.010438414290547373,0.010438414290547373,0.8994410236676534,0.8500008384386698,0.0,0.25,0.8813596367835999,0.8198940753936768,0.8824031154314677,0.010438414290547373,1.0,0.8198940753936768,1.0,0.6651304960250854,0.6651304960250854,0.8994410236676534,0.8903084397315979,0.5,1.0,69.0,0.9072257280349731,0.8813596367835999,0.49877628684043884,0.5,0.49877628684043884,0.49877628684043884,0.010438414290547373,1.0,0.8903084397315979,0.9152952631314596,0.5,0.0052192071452736855,0.8500008384386698,0.6666666865348816,0.0,0.4990074237187703,0.8824031154314677,1.0,0.04666666666666667,1.0,0.9235096573829651,0.3325652480125427,0.9152952631314596,0.49877628684043884,0.24938814342021942,0.0,0.9235096573829651,1.0,0.0,0.03007198061174526,0.0,0.0,0.0,0.0008377152062434629,0.00031048734189751044,0.0,0.0,0.0,0.0,0.00066918145661357,0.0,0.0,0.0,0.0,0.03007198061174526,0.03007198061174526,0.0008377152062434629,0.0004104847775977764,0.0,0.0,29.816103031751148,0.0,0.0,0.03345995933594145,0.0,0.03345995933594145,0.03345995933594145,0.0,0.0,0.0004104847775977764,0.00010724638629981594,0.0,0.0,0.00031048734189751044,0.0,0.0,0.01701564392546549,0.00066918145661357,0.0,0.03785938897200183,0.0,0.00021831593168032549,0.01503599030587263,0.00010724638629981594,0.03345995933594145,0.01672997966797074,0.0,0.00021831593168032549,0.0
no_init_box_kenn_top_down_adapter_bert_ms,0.006958942394703627,0.681375245253245,0.9072257280349731,0.010438414290547373,0.010438414290547373,0.8998443881670634,0.8501787384351095,0.0,0.25,0.8813596367835999,0.8198940753936768,0.8827868700027466,0.010438414290547373,1.0,0.8198940753936768,1.0,0.681375245253245,0.681375245253245,0.8998443881670634,0.890505830446879,0.5,1.0,45.666666666666664,0.9072257280349731,0.8813596367835999,0.5179639955361685,0.5,0.5179639955361685,0.5179639955361685,0.010438414290547373,1.0,0.890505830446879,0.9153464833895365,0.5,0.0052192071452736855,0.8501787384351095,0.6666666865348816,0.0,0.5079313516616821,0.8827868700027466,1.0,0.12,1.0,0.9236140251159668,0.3406876226266225,0.9153464833895365,0.5179639955361685,0.2589819977680842,0.0,0.9236140251159668,1.0,0.0,0.04621596257337612,0.0,0.0,0.0,0.0012305020693748566,0.00048931036954611,0.0,0.0,0.0,0.0,0.0010549507340706042,0.0,0.0,0.0,0.0,0.04621596257337612,0.04621596257337612,0.0012305020693748566,0.0006026440772099919,0.0,0.0,18.556220879622373,0.0,0.0,0.05274787132110738,0.0,0.05274787132110738,0.05274787132110738,0.0,0.0,0.0006026440772099919,0.00015848960600665446,0.0,0.0,0.00048931036954611,0.0,0.0,0.02583605858980158,0.0010549507340706042,0.0,0.06244997998398399,0.0,0.00032272860469669467,0.02310798128668806,0.00015848960600665446,0.05274787132110738,0.026373935660553703,0.0,0.00032272860469669467,0.0
no_init_kenn_bottom_up_adapter_bert_ms,0.00889764322588841,0.6017756561438242,0.9148206114768982,0.010206449156006178,0.010206449156006178,0.9052745898564657,0.8793257276217142,0.6808511018753052,0.375,0.8994152148564657,0.8638650973637899,0.8953590989112854,0.010206449156006178,0.9777777989705404,0.8638650973637899,0.9777777989705404,0.6017756561438242,0.6017756561438242,0.9052745898564657,0.9023261070251465,0.7555555502573649,0.9777777989705404,17.666666666666668,0.9148206114768982,0.8994152148564657,0.4577730596065521,0.7555555899937948,0.4577730596065521,0.4577730596065521,0.010206449156006178,0.9777777791023254,0.9023261070251465,0.9194087982177734,0.7555555502573649,0.007886801691104969,0.8793257276217142,0.852394163608551,0.5333333611488342,0.6180522640546163,0.8953590989112854,0.9777777791023254,0.3466666666666667,0.9777777791023254,0.9240489602088928,0.7228234012921652,0.9194087982177734,0.5459790229797363,0.6994747718175253,0.9411764740943908,0.9240489602088928,0.9777777989705404,0.0002807876703062664,0.18322047245022222,0.00013390004023425077,0.00040177539860989937,0.00040177539860989937,0.006905274200476317,0.0016573260007040913,0.0,0.0,0.0002532090712009151,0.0007698133898837444,0.004195323214189195,0.00040177539860989937,0.038489981239033466,0.0007698133898837444,0.038489981239033466,0.18322047245022222,0.18322047245022222,0.006905274200476317,0.0033304871911715678,0.019244990619516757,0.038489981239033466,2.081665999466133,0.00013390004023425077,0.0002532090712009151,0.20976652093575804,0.019245025032274446,0.20976652093575804,0.20976652093575804,0.00040177539860989937,0.03849001565179118,0.0033304871911715678,0.0018510764703605876,0.019244990619516757,0.00020088743045527916,0.0016573260007040913,0.02689945472882533,0.0,0.12953200275900997,0.004195323214189195,0.03849001565179118,0.41585253796668514,0.03849001565179118,0.0038434733284296134,0.04735038359278536,0.0018510764703605876,0.2020218395050776,0.10488325921628579,0.0,0.0038434733284296134,0.038489981239033466
no_init_kenn_horizontal_adapter_bert_ms,0.008816240355372429,0.588034192721049,0.914781947930654,0.010090467209617298,0.010090467209617298,0.9034672180811564,0.8791879614194235,0.6808511018753052,0.375,0.8993420998255411,0.8636428713798523,0.8953156471252441,0.010090467209617298,0.9666666984558105,0.8636428713798523,0.9666666984558105,0.588034192721049,0.588034192721049,0.9034672180811564,0.9013752937316895,0.75,0.9666666984558105,21.0,0.914781947930654,0.8993420998255411,0.455601101120313,0.7500000397364298,0.455601101120313,0.455601101120313,0.010090467209617298,0.9666666587193807,0.9013752937316895,0.9182907541592916,0.749999980131785,0.0078288105626901,0.8791879614194235,0.8445957899093628,0.5333333611488342,0.6023318866888682,0.8953156471252441,0.9666666587193807,0.4766666666666666,0.9666666587193807,0.9218530257542928,0.7182061473528544,0.9182907541592916,0.5398595531781515,0.6983887950579325,0.9411764740943908,0.9218530257542928,0.9666666984558105,0.00042178157792189814,0.22758586962932814,0.0002008672667300529,0.0006026620225161698,0.0006026620225161698,0.011304992617220785,0.0018731501618202283,0.0,0.0,0.00037984801955909866,0.0011547200848256286,0.004791225595752452,0.0006026620225161698,0.05773497185855025,0.0011547200848256286,0.05773497185855025,0.22758586962932814,0.22758586962932814,0.011304992617220785,0.00552721619583844,0.028867485929275124,0.05773497185855025,7.810249675906654,0.0002008672667300529,0.00037984801955909866,0.23956043266686755,0.028867520342032837,0.23956043266686755,0.23956043266686755,0.0006026620225161698,0.057735040684065646,0.00552721619583844,0.004118353410557026,0.028867520342032837,0.00030133101125808404,0.0018731501618202283,0.0404066341922282,0.0,0.17403743133585764,0.004791225595752452,0.057735040684065646,0.46014490471299724,0.057735040684065646,0.008396392164449446,0.056186724441792596,0.004118353410557026,0.24333401216256043,0.11978022256001822,0.0,0.008396392164449446,0.05773497185855025
no_init_kenn_hybrid_adapter_bert_ms,0.008978808298707008,0.5915382901827494,0.9148592750231425,0.010322431723276775,0.010322431723276775,0.9041062792142233,0.8793457349141439,0.6808511018753052,0.375,0.8994883100191752,0.8640873233477274,0.8951621651649475,0.010322431723276775,0.9888888994852701,0.8640873233477274,0.9888888994852701,0.5915382901827494,0.5915382901827494,0.9041062792142233,0.9017767508824667,0.7611111005147299,0.9888888994852701,17.666666666666668,0.9148592750231425,0.8994883100191752,0.44792687396208447,0.7611111601193746,0.44792687396208447,0.44792687396208447,0.010322431723276775,0.9888888796170553,0.9017767508824667,0.9190672238667806,0.7611111005147299,0.007944792819519838,0.8793457349141439,0.8601698080698649,0.5333333611488342,0.6074561874071757,0.8951621651649475,0.9888888796170553,0.32666666666666666,0.9888888796170553,0.9233240485191345,0.7225195169448853,0.9190672238667806,0.532788097858429,0.6945516665776571,0.9411764740943908,0.9233240485191345,0.9888888994852701,0.0001402056403844283,0.21528880293674485,6.693281373833647e-05,0.00020088769930495036,0.00020088769930495036,0.008812669158851575,0.0020473581901922808,0.0,0.0,0.00012660453560046957,0.0003849066949418842,0.004618057204169972,0.00020088769930495036,0.01924499061951678,0.0003849066949418842,0.01924499061951678,0.21528880293674485,0.21528880293674485,0.008812669158851575,0.004343416206409577,0.009622495309758367,0.01924499061951678,2.081665999466133,6.693281373833647e-05,0.00012660453560046957,0.23090294875656833,0.009622495309758367,0.23090294875656833,0.23090294875656833,0.00020088769930495036,0.019245025032274446,0.004343416206409577,0.0025552680986619647,0.009622495309758367,0.00010044384965247431,0.0020473581901922808,0.013431643460238157,0.0,0.15641082813551832,0.004618057204169972,0.019245025032274446,0.39878983604567125,0.019245025032274446,0.005201830982237723,0.05864291961172726,0.0025552680986619647,0.22506207910075476,0.11545146140974759,0.0,0.005201830982237723,0.01924499061951678
