name,instance,run_id,test_incremental_person-religious_leader/macro_types/precision,test/macro_example/precision,test_incremental/macro_example/f1,test_incremental_person-doctor/macro_types/recall,test_pretraining/macro_example/recall,test_incremental_person-artist/macro_types/recall,test_incremental_person-author/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_incremental_person-musician/macro_types/recall,test_incremental_person-director/macro_types/precision,test_incremental_person-engineer/macro_types/precision,test_incremental/macro_types/recall,test_incremental_person-musician/macro_types/precision,test_incremental/micro/precision,test_incremental_only/macro_types/recall,test_incremental_only/macro_example/recall,test_incremental_person-doctor/macro_types/f1,test_incremental_person/macro_types/precision,test_incremental_person-religious_leader/macro_types/recall,test/macro_types/recall,test_incremental_only/micro/precision,test_incremental_person-author/macro_types/f1,test_incremental_person-coach/macro_types/precision,test_incremental_only/micro/f1,test_incremental/macro_types/precision,test_incremental_person-engineer/macro_types/f1,test_pretraining/micro/recall,test_incremental_person/macro_types/f1,test_incremental_person-soldier/macro_types/f1,test_incremental_person-doctor/macro_types/precision,test_incremental_person-musician/macro_types/f1,test_incremental_person-coach/macro_types/recall,test_incremental_person-monarch/macro_types/precision,test/macro_types/f1,test/macro_example/recall,test_pretraining/macro_example/f1,test_incremental_person-coach/macro_types/f1,test_incremental_person-actor/macro_types/recall,test_incremental_person-religious_leader/macro_types/f1,test_incremental_only/macro_example_exclusive/recall,test_incremental_person-soldier/macro_types/precision,test_incremental_person-politician/macro_types/precision,test_pretraining/macro_types/precision,test_incremental_only/macro_types/precision,test_incremental_person-soldier/macro_types/recall,test/micro/precision,test_incremental_person-director/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental/macro_example_exclusive/f1,test_incremental_person-architect/macro_types/f1,threshold_incremental,test/macro_types/precision,test_incremental/macro_example_exclusive/recall,test_incremental_person-monarch/macro_types/recall,test_incremental_only/micro/recall,test_incremental_person-actor/macro_types/f1,test_incremental_person-director/macro_types/f1,test_incremental_person-politician/macro_types/f1,test/micro/f1,test_incremental/micro/f1,test_pretraining/macro_types/recall,test_incremental_person-artist/macro_types/precision,test/macro_example/f1,threshold_pretraining,test_incremental_person-actor/macro_types/precision,test_incremental/micro/recall,test_incremental/macro_types/f1,test_incremental_person-athlete/macro_types/f1,test_incremental_only/macro_example_exclusive/f1,test_incremental_person-athlete/macro_types/precision,test_incremental_person-author/macro_types/precision,test_incremental_only/macro_types/f1,test_incremental_person-athlete/macro_types/recall,test_pretraining/macro_types/f1,test_incremental_person-artist/macro_types/f1,test_incremental_person-monarch/macro_types/f1,test_incremental_person-architect/macro_types/recall,test_incremental_person/macro_types/recall,test_incremental_only/macro_example/precision,test_incremental_person-engineer/macro_types/recall,test_incremental_person-politician/macro_types/recall,test_incremental/macro_example/recall,test_incremental/macro_example/precision,test_incremental_only/macro_example_exclusive/precision,test/micro/recall,test_pretraining/micro/f1,test_pretraining/micro/precision,test_incremental_person-architect/macro_types/precision,test_pretraining/macro_example/precision,epoch
kenn_horizontal_adapter_bert_ms,2,3g17n8ke,0.6285714507102966,0.8752899169921875,0.11695674061775208,0.5666666626930237,0.8761329054832458,0.22580644488334656,0.11428571492433548,0.8185266256332397,0.5588235259056091,0.2666666805744171,0.16083915531635284,0.5684076547622681,0.4634146392345429,0.6138211488723755,0.5397677421569824,0.06417304277420044,0.49275362491607666,0.9365750551223756,0.7333333492279053,0.7900353670120239,0.4121532440185547,0.16161617636680603,0.6428571343421936,0.41516968607902527,0.4992783069610596,0.25,0.8309324979782104,0.9526881575584412,0.33707863092422485,0.43589743971824646,0.5066667199134827,0.8999999761581421,0.5192307829856873,0.7985968589782715,0.8761329054832458,0.87571120262146,0.7499999403953552,0.33870968222618103,0.6769230365753174,0.4370458424091339,0.2586206793785095,0.5263158082962036,0.8073458075523376,0.4680428504943848,0.4838709533214569,0.8409745097160339,0.5333333611488342,0.06861031800508499,0.7355223298072815,0.7941175699234009,0.060000000000000005,0.8073458075523376,0.6678024530410767,0.8181818127632141,0.4182305634021759,0.37168142199516296,0.35555556416511536,0.4838709831237793,0.8359233736991882,0.6206330060958862,0.7900353670120239,0.6666666865348816,0.87571120262146,0.375,0.4117647111415863,0.6275976896286011,0.5316050052642822,0.4571428596973419,0.4672655165195465,0.5853658318519592,0.27586206793785095,0.5013530254364014,0.375,0.7985968589782715,0.33734941482543945,0.6352941393852234,0.8999999761581421,0.969365417957306,0.07370680570602417,0.5609756112098694,0.447761207818985,0.10618849098682404,0.13015541434288025,0.5019747018814087,0.8309324979782104,0.8359233736991882,0.8409745097160339,0.7105262875556946,0.8752899169921875,67
kenn_horizontal_adapter_bert_ms,1,b6gis3l3,0.5789473652839661,0.8458136320114136,0.1145433634519577,0.23333333432674408,0.8669379949569702,0.1854838728904724,0.014285714365541937,0.8559809923171997,0.2647058963775635,0.0833333358168602,0.11249999701976776,0.46523338556289673,0.0656934306025505,0.4067296385765076,0.429223895072937,0.05270818993449211,0.3499999940395355,0.9365750551223756,0.7333333492279053,0.7654700875282288,0.201474204659462,0.013468013145029545,0.6279069781303406,0.2501271069049835,0.38256093859672546,0.19217081367969513,0.8184230327606201,0.9526881575584412,0.25,0.699999988079071,0.10526315867900848,0.8999999761581421,0.4126984179019928,0.7724488377571106,0.8669379949569702,0.8562455177307129,0.7397260665893555,0.4677419364452362,0.6470588445663452,0.35896527767181396,0.2800000011920929,0.4050633013248443,0.7795559763908386,0.3429884910583496,0.22580644488334656,0.7606130242347717,0.20000000298023224,0.06053701788187027,0.7203449010848999,0.6478873491287231,0.15000000000000002,0.7795559763908386,0.6218141317367554,0.7878788113594055,0.3297587037086487,0.2213740199804306,0.11764706671237946,0.4383561909198761,0.788459837436676,0.4756644666194916,0.7654700875282288,0.21698112785816193,0.8562455177307129,0.375,0.1449999958276749,0.5727348327636719,0.41986629366874695,0.1621621698141098,0.41228294372558594,0.6000000238418579,0.012738853693008425,0.38129109144210815,0.09375,0.7724488377571106,0.20000001788139343,0.5416666269302368,0.7666666507720947,0.969365417957306,0.07109719514846802,0.6585366129875183,0.4776119291782379,0.09887580573558807,0.13611111044883728,0.4842022359371186,0.8184230327606201,0.788459837436676,0.7606130242347717,0.5609756112098694,0.8458136320114136,25
kenn_horizontal_adapter_bert_ms,0,14dvaf7q,0.4035087823867798,0.8740025758743286,0.11773316562175752,0.4333333373069763,0.8763442039489746,0.17741934955120087,0.20000000298023224,0.8253099918365479,0.3235294222831726,0.09433962404727936,0.22727273404598236,0.5481058955192566,0.239130437374115,0.6015999913215637,0.5180159211158752,0.06573300808668137,0.34666669368743896,0.9365750551223756,0.7666666507720947,0.7852016687393188,0.39768341183662415,0.2641509473323822,0.5833333134651184,0.4057780802249909,0.4841145873069763,0.34682080149650574,0.830363929271698,0.9526881575584412,0.5714285373687744,0.2888889014720917,0.2750000059604645,0.9333333373069764,0.6078431606292725,0.7943603992462158,0.8763442039489746,0.8751717805862427,0.7179487347602844,0.24193547666072843,0.5287356376647949,0.4476698338985443,0.6399999856948853,0.6470588445663452,0.8037353754043579,0.4517959952354431,0.5161290168762207,0.8371871113777161,0.1666666716337204,0.07243780046701431,0.7404050827026367,0.8307691812515259,0.1,0.8037353754043579,0.6713399887084961,0.939393937587738,0.41420912742614746,0.2255638986825943,0.1204819306731224,0.4356435537338257,0.8337615728378296,0.6131267547607422,0.7852016687393188,0.3384615480899811,0.8751717805862427,0.375,0.2112676054239273,0.6251038908958435,0.514126718044281,0.7102803587913513,0.4933323264122009,0.8837209343910217,0.3888888955116272,0.482645183801651,0.59375,0.7943603992462158,0.23280423879623413,0.7380951642990112,0.8999999761581421,0.969365417957306,0.08066573739051819,0.7317073345184326,0.3283582031726837,0.1067510023713112,0.1312340497970581,0.5493680834770203,0.830363929271698,0.8337615728378296,0.8371871113777161,0.7714285850524902,0.8740025758743286,57
kenn_hybrid_adapter_bert_ms,2,a38teoel,0.6388888955116272,0.8851158618927002,0.11381806433200836,0.5666666626930237,0.8779447078704834,0.2983871102333069,0.12142857164144516,0.7348616123199463,0.5588235259056091,0.21568627655506137,0.23999999463558197,0.6089500188827515,0.6129032373428345,0.6202531456947327,0.583206057548523,0.07329505681991577,0.472222238779068,0.9365750551223756,0.7666666507720947,0.7996883392333984,0.43109986186027527,0.1837837845087051,0.5319148898124695,0.4437215030193329,0.5290242433547974,0.376963347196579,0.8364291191101074,0.9526881575584412,0.29999998211860657,0.4047619104385376,0.5846154093742371,0.8333333134651184,0.5,0.8069909811019897,0.8779447078704834,0.8815157413482666,0.649350643157959,0.30645161867141724,0.696969747543335,0.4991706311702728,0.21739129722118375,0.5686274766921997,0.8144282102584839,0.4999134838581085,0.4838709533214569,0.8410520553588867,0.7333333492279053,0.07670525461435318,0.7157835960388184,0.7499999403953552,0.060000000000000005,0.8144282102584839,0.6976711750030518,0.8787878751754761,0.4571045637130738,0.4000000059604645,0.3333333432674408,0.49152544140815735,0.8387342095375061,0.6355898380279541,0.7996883392333984,0.8222222328186035,0.8815157413482666,0.375,0.5757575631141663,0.6517040729522705,0.5661803483963013,0.5,0.5223955512046814,0.6499999761581421,0.3777777850627899,0.538357138633728,0.40625,0.8069909811019897,0.4378698468208313,0.6373626589775085,0.8999999761581421,0.969365417957306,0.08044826984405518,0.8780487775802612,0.43283581733703613,0.11093796789646149,0.11685168743133544,0.5478870868682861,0.8364291191101074,0.8387342095375061,0.8410520553588867,0.6428571343421936,0.8851158618927002,69
kenn_top_down_adapter_bert_ms,2,3i2tnc42,0.2395833283662796,0.7290744781494141,0.11351307481527328,0.6000000238418579,0.8794757127761841,0.3306451737880707,0.13571429252624512,0.7178128957748413,0.5588235259056091,0.08118081092834473,0.06735751032829285,0.6245296001434326,0.1570248007774353,0.2545454502105713,0.5998983979225159,0.07686151564121246,0.3750000298023224,0.9365750551223756,0.7666666507720947,0.8033977746963501,0.13335837423801422,0.12258065491914748,0.4464285671710968,0.2083333283662796,0.24123089015483856,0.12580645084381104,0.839082658290863,0.9526881575584412,0.13008129596710205,0.27272728085517883,0.2451612949371338,0.8333333134651184,0.08262108266353607,0.7735851407051086,0.8794757127761841,0.7972437143325806,0.5813953280448914,0.35483869910240173,0.3650793433189392,0.523459792137146,0.07441860437393188,0.3085106313228607,0.7459059953689575,0.1915634572505951,0.5161290168762207,0.6219443678855896,0.7333333492279053,0.0790557861328125,0.7138655781745911,0.3913043439388275,0.060000000000000005,0.7459059953689575,0.7099614143371582,0.8787878751754761,0.47587132453918457,0.2666666805744171,0.1461794078350067,0.3602484166622162,0.7143779397010803,0.3679114878177643,0.8033977746963501,0.28671327233314514,0.7972437143325806,0.375,0.21359223127365112,0.6633416414260864,0.3480311930179596,0.14730878174304962,0.5384037494659424,0.08996539562940598,0.11176470667123796,0.2903958559036255,0.40625,0.7735851407051086,0.3071160912513733,0.1510416716337204,0.8999999761581421,0.969365417957306,0.08137903362512589,0.9512194991111756,0.43283581733703613,0.1128922700881958,0.11414073407649994,0.5542259216308594,0.839082658290863,0.7143779397010803,0.6219443678855896,0.25,0.7290744781494141,71
kenn_bottom_up_adapter_bert_ms,2,eo3p04cs,0.5116279125213623,0.8780094981193542,0.11385364830493928,0.6333333253860474,0.8797366619110107,0.33870968222618103,0.12857143580913544,0.7238251566886902,0.5588235259056091,0.21698112785816193,0.20454545319080353,0.6315368413925171,0.5757575631141663,0.5915805101394653,0.6074061989784241,0.07580028474330902,0.4578312933444977,0.9365750551223756,0.7333333492279053,0.8050661087036133,0.40635642409324646,0.1846153736114502,0.5384615659713745,0.44007375836372375,0.5102883577346802,0.33179721236228943,0.8396512269973755,0.9526881575584412,0.2909091114997864,0.35849055647850037,0.5671641826629639,0.9333333373069764,0.4838709533214569,0.8075092434883118,0.8797366619110107,0.8788721561431885,0.6829268932342529,0.33870968222618103,0.6027397513389587,0.5162322521209717,0.20253165066242215,0.5636363625526428,0.8099672794342041,0.4798392951488495,0.5161290168762207,0.8300543427467346,0.7666666507720947,0.0763980820775032,0.7160074710845947,0.7397260665893555,0.05,0.8099672794342041,0.7083567380905151,0.9090909361839294,0.479892760515213,0.4329896867275238,0.3382352888584137,0.5081967115402222,0.8348251581192017,0.6265154480934143,0.8050661087036133,0.8399999737739563,0.8788721561431885,0.375,0.6000000238418579,0.665835440158844,0.5644749999046326,0.5048543214797974,0.5203035473823547,0.6666666865348816,0.3272727131843567,0.5361390113830566,0.40625,0.8075092434883118,0.48275864124298096,0.6315789222717285,0.8999999761581421,0.969365417957306,0.07700539380311966,0.8780487775802612,0.46268656849861145,0.11263711005449296,0.11509676277637482,0.5244395732879639,0.8396512269973755,0.8348251581192017,0.8300543427467346,0.6279069781303406,0.8780094981193542,69
kenn_hybrid_adapter_bert_ms,1,3mm9e70t,0.6774193644523621,0.9073069095611572,0.1125405952334404,0.23333333432674408,0.8669321537017822,0.17741934955120087,0.014285714365541937,0.8182765245437622,0.29411765933036804,0.23999999463558197,0.2897196114063263,0.4688930809497833,0.6666666865348816,0.7379679083824158,0.43314504623413086,0.0533054992556572,0.3589743375778198,0.9365750551223756,0.699999988079071,0.7663414478302002,0.5346320271492004,0.026490068063139915,0.5869565010070801,0.4089403748512268,0.6035616397857666,0.4189189076423645,0.8186125755310059,0.9526881575584412,0.2307692319154739,0.7777777910232544,0.4081633090972901,0.8999999761581421,0.7027027010917664,0.7979026436805725,0.8669321537017822,0.8866601586341858,0.7105262875556946,0.4516128897666931,0.688524603843689,0.3630331754684448,0.2857142984867096,0.5714285969734192,0.8321751952171326,0.5797749757766724,0.19354838132858276,0.878202497959137,0.20000000298023224,0.06223239749670029,0.7077498435974121,0.8275862336158752,0.18000000000000002,0.8321751952171326,0.6235281825065613,0.7878788113594055,0.33109918236732483,0.5185185670852661,0.2181818187236786,0.5203251838684082,0.8473612070083618,0.6454630494117737,0.7663414478302002,0.95652174949646,0.8866601586341858,0.375,0.6086956262588501,0.5735660791397095,0.5277721285820007,0.14084507524967194,0.4238291680812836,0.7142857313156128,0.1818181872367859,0.4958469271659851,0.078125,0.7979026436805725,0.2993197441101074,0.7428572177886963,0.800000011920929,0.969365417957306,0.0747506394982338,0.7560975551605225,0.4776119291782379,0.09914836287498474,0.13011565804481506,0.5090837478637695,0.8186125755310059,0.8473612070083618,0.878202497959137,0.8571428656578064,0.9073069095611572,25
