name,instance,run_id,test_incremental_only/macro_types/precision,test_incremental/macro_example/f1,test_incremental_product-ship/macro_types/precision,test_incremental_only/macro_example/precision,test_incremental_product-mobile_phone/macro_types/precision,test_incremental_product-airplane/macro_types/f1,test_incremental_product-spacecraft/macro_types/recall,test_incremental_only/macro_example_exclusive/precision,test_incremental_product-airplane/macro_types/precision,test_incremental_product-computer/macro_types/f1,test_incremental_product-camera/macro_types/recall,epoch,test/micro/recall,test_incremental/macro_types/f1,test/macro_example/recall,test_pretraining/macro_example/f1,test_pretraining/micro/precision,test_incremental/macro_example_exclusive/recall,test/macro_example/precision,test_incremental_product-camera/macro_types/precision,test_incremental/macro_example/recall,test_incremental_product/macro_types/f1,test_incremental_product-weapon/macro_types/precision,test_incremental_product-computer/macro_types/precision,test_incremental_product-engine_device/macro_types/recall,test_incremental/macro_types/recall,test_incremental_product-computer/macro_types/recall,test_incremental/macro_types/precision,test_incremental/macro_example_exclusive/f1,test/macro_types/precision,test_incremental_only/macro_example/f1,test_incremental_product-airplane/macro_types/recall,test_incremental_product-engine_device/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test_incremental_product-mobile_phone/macro_types/f1,test_incremental/micro/recall,test_incremental/micro/precision,test/macro_types/recall,test_pretraining/macro_types/f1,test_pretraining/macro_types/precision,test_incremental_product-car/macro_types/recall,test_incremental_only/micro/recall,test_pretraining/macro_example/precision,test_incremental_product-weapon/macro_types/recall,test_incremental_only/micro/precision,test_incremental_product/macro_types/precision,test_incremental_product-instrument/macro_types/recall,test/micro/precision,threshold_incremental,test_incremental_product/macro_types/recall,test_incremental_product-ship/macro_types/recall,test_incremental_product-spacecraft/macro_types/f1,test/macro_example/f1,test_incremental/micro/f1,test_pretraining/micro/recall,test/micro/f1,test/macro_types/f1,threshold_pretraining,test_incremental_product-weapon/macro_types/f1,test_pretraining/macro_example/recall,test_incremental_product-car/macro_types/f1,test_incremental_product-instrument/macro_types/f1,test_incremental_product-engine_device/macro_types/f1,test_incremental_product-mobile_phone/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_incremental_product-car/macro_types/precision,test_incremental/macro_example/precision,test_incremental_product-ship/macro_types/f1,test_incremental_product-camera/macro_types/f1,test_pretraining/micro/f1,test_pretraining/macro_types/recall,test_incremental_only/macro_example_exclusive/f1,test_incremental_only/macro_example/recall,test_incremental_product-instrument/macro_types/precision,test_incremental_only/micro/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_types/recall,test_incremental_product-spacecraft/macro_types/precision
no_init_box_kenn_horizontal_adapter_bert_ms,2,ek59tu3h,0.9746297001838684,0.08859541267156601,0.949999988079071,0.07341684401035309,1.0,0.8301886320114136,0.8666666746139526,0.7033333778381348,1.0,0.7042253017425537,0.7666666507720947,24,0.8670520186424255,0.8105387687683105,0.8957202434539795,0.9101163148880004,0.907911777496338,0.7795873880386353,0.9249826669692992,1.0,0.08327534049749374,0.9280821681022644,1.0,0.8333333134651184,0.5,0.6935684680938721,0.6097561120986938,0.9749669432640076,0.8293915390968323,0.9045368432998656,0.07235795259475708,0.7096773982048035,1.0,0.6833332777023315,0.6956522464752197,0.7761674523353577,0.973737359046936,0.7922240495681763,0.8446633219718933,0.9045368432998656,0.7333333492279053,0.6719745397567749,0.9249826669692992,0.6000000238418579,0.9678899049758912,0.9783393740653992,0.8333333134651184,0.907911777496338,0.01,0.8827361464500427,0.59375,0.9122806787490844,0.9101163148880004,0.8637992739677429,0.8670520186424255,0.8870115876197815,0.8446633219718933,0.25,0.75,0.8957202434539795,0.8461538553237915,0.9090909361839294,0.6666666865348816,0.5333333611488342,0.885993480682373,1.0,0.09464161098003387,0.730769157409668,0.8679245114326477,0.8870115876197815,0.7922240495681763,0.6931891441345215,0.07132916152477264,1.0,0.7932330965995789,0.7973600625991821,0.6746516823768616,0.9629629850387572
no_init_box_kenn_horizontal_adapter_bert_ms,1,ehaay76t,0.7744736671447754,0.08156602084636688,1.0,0.04940848797559738,0.0,0.6666666865348816,0.6666666865348816,0.4733333289623261,0.8500000238418579,0.5666666626930237,0.7333333492279053,16,0.8528075814247131,0.6082868576049805,0.8850498795509338,0.9040486216545104,0.9069154858589172,0.6737241744995117,0.9238808155059814,1.0,0.07196706533432007,0.9280821681022644,1.0,0.8947368264198303,0.0,0.4933643341064453,0.4146341383457184,0.793006956577301,0.7635854482650757,0.8706121444702148,0.04940849170088768,0.5483871102333069,0.0,0.4733333289623261,0.0,0.6650563478469849,0.974056601524353,0.7548978924751282,0.8086364269256592,0.8706121444702148,0.6000000238418579,0.4522292912006378,0.9238808155059814,0.6000000238418579,0.9659863710403442,0.9783393740653992,0.699999988079071,0.9069154858589172,0.01,0.8827361464500427,0.28125,0.800000011920929,0.9040486216545104,0.7904306054115295,0.8528075814247131,0.8790296912193298,0.8086364269256592,0.25,0.75,0.8850498795509338,0.75,0.8235293626785278,0.0,0.0,0.8811074495315552,1.0,0.09411969780921936,0.4390243887901306,0.8461538553237915,0.8790296912193298,0.7548978924751282,0.4733333289623261,0.04940848797559738,1.0,0.6160520315170288,0.5727750658988953,0.4544271528720856,1.0
no_init_box_kenn_horizontal_adapter_bert_ms,0,bt0747p3,0.7536932229995728,0.08291276544332504,1.0,0.05497564375400543,0.0,0.7301587462425232,0.7666666507720947,0.5266666412353516,0.71875,0.3461538553237915,0.7666666507720947,19,0.8561106324195862,0.640261173248291,0.8881813883781433,0.9052613377571106,0.9060519933700562,0.6997828483581543,0.9230109453201294,1.0,0.0747506320476532,0.9280821681022644,1.0,0.8181818127632141,0.0,0.5458728075027466,0.2195121943950653,0.7741155624389648,0.7761930823326111,0.8670899868011475,0.05497564375400543,0.7419354915618896,0.0,0.5266666412353516,0.0,0.6908212304115295,0.9618834257125854,0.7646875977516174,0.8126757144927979,0.8670899868011475,0.6333333253860474,0.5031847357749939,0.9230109453201294,0.7333333492279053,0.9349112510681152,0.9783393740653992,0.6666666865348816,0.9060519933700562,0.01,0.8827361464500427,0.59375,0.8679245114326477,0.9052613377571106,0.8041236996650696,0.8561106324195862,0.8803735375404358,0.8126757144927979,0.25,0.8461538553237915,0.8881813883781433,0.7755101919174194,0.800000011920929,0.0,0.0,0.871335506439209,1.0,0.09307584911584854,0.7450980544090271,0.8679245114326477,0.8803735375404358,0.7646875977516174,0.5266666412353516,0.05497564375400543,1.0,0.6542443037033081,0.6099022626876831,0.5121864080429077,1.0
no_init_box_kenn_hybrid_adapter_bert_ms,2,1erkpwal,0.9670807719230652,0.09248562157154085,0.9166666865348816,0.08246347308158875,1.0,0.8148147463798523,0.8999999761581421,0.7899999618530273,0.95652174949646,0.7042253017425537,0.8666666746139526,31,0.8724194765090942,0.8588708639144897,0.8993446826934814,0.912068009376526,0.9080361127853394,0.8213897943496704,0.925156593322754,1.0,0.08774065971374512,0.9280821681022644,1.0,0.8333333134651184,0.5666666626930237,0.7717881798744202,0.6097561120986938,0.9681043028831482,0.8658100366592407,0.9032573699951172,0.08131691813468933,0.7096773982048035,1.0,0.7683333158493042,0.9090909361839294,0.8180354237556458,0.971319317817688,0.8068073987960815,0.852312445640564,0.9032573699951172,0.7333333492279053,0.7547770738601685,0.925156593322754,0.800000011920929,0.9634146094322203,0.9783393740653992,0.8999999761581421,0.9080361127853394,0.01,0.8827361464500427,0.6875,0.931034505367279,0.912068009376526,0.8881118297576904,0.8724194765090942,0.8898715972900391,0.852312445640564,0.25,0.888888955116272,0.8993446826934814,0.8461538553237915,0.9473683834075928,0.7234042882919312,0.8333333134651184,0.9153094291687012,1.0,0.09777313470840454,0.7857142686843872,0.9285714626312256,0.8898715972900391,0.8068073987960815,0.7790160179138184,0.08020181208848953,1.0,0.8464285731315613,0.8515601754188538,0.7606933116912842,0.9642857313156128
no_init_box_kenn_top_down_adapter_bert_ms,2,8jdba9ne,0.9654539227485656,0.09341104328632356,0.9200000166893004,0.08524703979492188,1.0,0.8148147463798523,0.9333333373069764,0.8166666030883789,0.95652174949646,0.7123287320137024,0.8666666746139526,25,0.8740710020065308,0.872469425201416,0.9006785154342651,0.9127534627914428,0.9079991579055786,0.8344191312789917,0.925156593322754,1.0,0.08913245797157288,0.9280821681022644,1.0,0.8125,0.6333333253860474,0.7950281500816345,0.6341463327407837,0.9666253924369812,0.8744732737541199,0.9029816389083862,0.08410101383924484,0.7096773982048035,1.0,0.7949999570846558,0.9090909361839294,0.8309178948402405,0.969924807548523,0.8111402988433838,0.8546006083488464,0.9029816389083862,0.7333333492279053,0.7802547812461853,0.925156593322754,0.8333333134651184,0.9607843160629272,0.9783393740653992,0.9666666388511658,0.9079991579055786,0.02,0.8827361464500427,0.71875,0.9491525292396544,0.9127534627914428,0.8950563669204712,0.8740710020065308,0.8907121419906616,0.8546006083488464,0.25,0.9090909361839294,0.9006785154342651,0.8461538553237915,0.98305082321167,0.7755101919174194,0.8333333134651184,0.9185667634010316,1.0,0.09812108427286148,0.8070175051689148,0.9285714626312256,0.8907121419906616,0.8111402988433838,0.805687665939331,0.08298538625240326,1.0,0.8611599802970886,0.866689920425415,0.7862574458122253,0.9655172228813172
no_init_box_kenn_bottom_up_adapter_bert_ms,2,dyz96roj,0.9667184948921204,0.09232428669929504,0.91304349899292,0.08176757395267487,1.0,0.8148147463798523,0.8999999761581421,0.7833333015441895,0.95652174949646,0.7042253017425537,0.8666666746139526,31,0.8720065951347351,0.8550945520401001,0.899054765701294,0.9119189381599426,0.9079965353012084,0.8186753392219543,0.925156593322754,1.0,0.08745070546865463,0.9280821681022644,1.0,0.8333333134651184,0.5666666626930237,0.7659169435501099,0.6097561120986938,0.9677748680114746,0.8642997145652771,0.9031959772109984,0.08071023225784302,0.7096773982048035,1.0,0.7633333206176758,0.9090909361839294,0.8148148059844971,0.9712092280387878,0.8057128190994263,0.85167396068573,0.9031959772109984,0.7333333492279053,0.7484076619148254,0.925156593322754,0.7666666507720947,0.9631147384643556,0.9783393740653992,0.8999999761581421,0.9079965353012084,0.01,0.8827361464500427,0.65625,0.931034505367279,0.9119189381599426,0.8861646056175232,0.8720065951347351,0.8896377682685852,0.85167396068573,0.25,0.8679245114326477,0.899054765701294,0.8461538553237915,0.9473683834075928,0.7234042882919312,0.8333333134651184,0.9153094291687012,1.0,0.09777313470840454,0.7636364102363586,0.9285714626312256,0.8896377682685852,0.8057128190994263,0.7732040286064148,0.07967989146709442,1.0,0.842293918132782,0.847359299659729,0.754235029220581,0.9642857313156128
no_init_box_kenn_hybrid_adapter_bert_ms,1,zjogg273,0.9730008840560912,0.0894344374537468,0.9545454382896424,0.07585246860980988,1.0,0.8301886320114136,0.8666666746139526,0.7266666889190674,1.0,0.7123287320137024,0.800000011920929,19,0.8684971332550049,0.823518693447113,0.8967061042785645,0.9105405807495116,0.9078549742698668,0.7909880876541138,0.9248086810112,1.0,0.08449316024780273,0.9280821681022644,1.0,0.8125,0.5,0.7135888338088989,0.6341463327407837,0.9734861850738524,0.8372461199760437,0.904260754585266,0.07479406148195267,0.7096773982048035,1.0,0.7066666483879089,0.7234042882919312,0.7874395847320557,0.9721670150756836,0.7959566712379456,0.8466591835021973,0.904260754585266,0.699999988079071,0.6942675113677979,0.9248086810112,0.800000011920929,0.964601755142212,0.9783393740653992,0.7333333492279053,0.9078549742698668,0.01,0.8827361464500427,0.65625,0.9122806787490844,0.9105405807495116,0.8701067566871643,0.8684971332550049,0.8877400159835815,0.8466591835021973,0.25,0.888888955116272,0.8967061042785645,0.8235293626785278,0.8461538553237915,0.6666666865348816,0.5666666626930237,0.8892508149147034,1.0,0.0949895605444908,0.7777777314186096,0.888888955116272,0.8877400159835815,0.7959566712379456,0.7165271043777466,0.07376478612422943,1.0,0.8074074387550354,0.8119718432426453,0.6966740489006042,0.9629629850387572
no_init_box_kenn_top_down_adapter_bert_ms,1,32dzu73k,0.9456737041473388,0.0933925211429596,0.8965517282485962,0.08663883060216904,0.9629629850387572,0.836363673210144,0.8999999761581421,0.8299999237060547,0.9583333134651184,0.6753246188163757,0.8333333134651184,19,0.874896764755249,0.8718061447143555,0.9013453722000122,0.9126436114311218,0.9067180156707764,0.8409337997436523,0.9242287278175354,1.0,0.08982834964990616,0.9280821681022644,1.0,0.7222222089767456,0.6666666865348816,0.8064835071563721,0.6341463327407837,0.9486433267593384,0.8743000030517578,0.8996291160583496,0.0854930505156517,0.7419354915618896,0.9523809552192688,0.8083332777023315,0.9122806787490844,0.8373590707778931,0.9576427340507508,0.8132760524749756,0.8542759418487549,0.8996291160583496,0.800000011920929,0.7929936051368713,0.9242287278175354,0.8999999761581421,0.9360902309417723,0.9783393740653992,0.8333333134651184,0.9067180156707764,0.01,0.8827361464500427,0.8125,0.931034505367279,0.9126436114311218,0.893470823764801,0.874896764755249,0.8905231952667236,0.8542759418487549,0.25,0.9473683834075928,0.9013453722000122,0.888888955116272,0.9090909361839294,0.7843137383460999,0.8666666746139526,0.9104233980178832,1.0,0.09725122153759004,0.8524590134620667,0.9090909361839294,0.8905231952667236,0.8132760524749756,0.8190233111381531,0.08437717705965042,1.0,0.8586207032203674,0.8660881519317627,0.7988581657409668,0.9642857313156128
no_init_box_kenn_bottom_up_adapter_bert_ms,1,lflqb8az,0.9532091617584229,0.09228351712226868,0.78125,0.08246346563100815,1.0,0.8301886320114136,0.8666666746139526,0.7899999618530273,1.0,0.7027026414871216,0.800000011920929,27,0.8724194765090942,0.8530259132385254,0.8994026780128479,0.9118723273277284,0.90686696767807,0.8219326734542847,0.924692690372467,1.0,0.08779865503311157,0.9280821681022644,1.0,0.7878788113594055,0.6666666865348816,0.77040696144104,0.6341463327407837,0.955493688583374,0.8639179468154907,0.900906264781952,0.08140624314546585,0.7096773982048035,1.0,0.7699999809265137,0.888888955116272,0.8180354237556458,0.960302472114563,0.8065499067306519,0.8511210083961487,0.900906264781952,0.800000011920929,0.7547770738601685,0.924692690372467,0.8666666746139526,0.9404761791229248,0.9783393740653992,0.6666666865348816,0.90686696767807,0.01,0.8827361464500427,0.78125,0.9122806787490844,0.9118723273277284,0.8834782242774963,0.8724194765090942,0.8893097639083862,0.8511210083961487,0.25,0.9285714626312256,0.8994026780128479,0.888888955116272,0.800000011920929,0.800000011920929,0.800000011920929,0.9104233980178832,1.0,0.09725122153759004,0.78125,0.888888955116272,0.8893097639083862,0.8065499067306519,0.7798717617988586,0.0803757905960083,1.0,0.8374558091163635,0.8451982736587524,0.759174108505249,0.9629629850387572
no_init_box_kenn_hybrid_adapter_bert_ms,0,jnq9vbdc,0.9299506545066832,0.09261433035135268,0.5116279125213623,0.08281141519546509,1.0,0.8301886320114136,0.800000011920929,0.7933332920074463,1.0,0.7027026414871216,0.8666666746139526,35,0.8726259469985962,0.8466527462005615,0.8995187282562256,0.9104914665222168,0.9043645858764648,0.8235613107681274,0.9217351675033568,1.0,0.08797263354063034,0.9280821681022644,1.0,0.7878788113594055,0.7666666507720947,0.7740055322647095,0.6341463327407837,0.9343496561050416,0.8670149445533752,0.8969641923904419,0.08175423741340637,0.7096773982048035,1.0,0.7733333110809326,0.9090909361839294,0.8196457624435425,0.9373849034309388,0.8072208166122437,0.849729597568512,0.8969641923904419,0.7333333492279053,0.7579618096351624,0.9217351675033568,0.800000011920929,0.8947368264198303,0.9783393740653992,0.800000011920929,0.9043645858764648,0.01,0.8827361464500427,0.6875,0.888888955116272,0.9104914665222168,0.8745704293251038,0.8726259469985962,0.8882117867469788,0.849729597568512,0.25,0.888888955116272,0.8995187282562256,0.8461538553237915,0.888888955116272,0.8679245114326477,0.8333333134651184,0.9153094291687012,1.0,0.09777313470840454,0.5866666436195374,0.9285714626312256,0.8882117867469788,0.8072208166122437,0.7832056879997253,0.08072372525930405,1.0,0.8206896781921387,0.8383232951164246,0.7631323933601379,1.0
no_init_box_kenn_top_down_adapter_bert_ms,0,pt5qzpdb,0.8829177618026733,0.09448251873254776,0.3650793731212616,0.08907446265220642,0.9642857313156128,0.836363673210144,0.8666666746139526,0.8533333539962769,0.9583333134651184,0.6835443377494812,0.8666666746139526,41,0.8763418793678284,0.8583249449729919,0.9025921821594238,0.910142719745636,0.8989834785461426,0.8528772592544556,0.917820692062378,1.0,0.0911041498184204,0.9280821681022644,0.8666666746139526,0.7105262875556946,0.8999999761581421,0.8274507522583008,0.6585366129875183,0.8915923833847046,0.884503960609436,0.8889924883842468,0.08801824599504471,0.7419354915618896,0.9642857313156128,0.8333333730697632,0.931034505367279,0.8486312627792358,0.8917089700698853,0.8171851634979248,0.8515777587890625,0.8889924883842468,0.8333333134651184,0.8152866363525391,0.917820692062378,0.8666666746139526,0.8152866363525391,0.9783393740653992,0.8666666746139526,0.8989834785461426,0.01,0.8827361464500427,0.71875,0.9285714626312256,0.910142719745636,0.8696369528770447,0.8763418793678284,0.8875183463096619,0.8515777587890625,0.25,0.8666666746139526,0.9025921821594238,0.9090909361839294,0.9285714626312256,0.931034505367279,0.8999999761581421,0.9185667634010316,1.0,0.09812108427286148,0.4842105209827423,0.9285714626312256,0.8875183463096619,0.8171851634979248,0.8432148098945618,0.08698678016662598,1.0,0.8152866363525391,0.8513288497924805,0.8219221830368042,1.0
