name,test_incremental_only/macro_types/recall/mean,epoch/mean,threshold_pretraining/mean,test_pretraining/micro/precision/mean,test_pretraining/macro_types/recall/mean,test_incremental_only/macro_example/precision/mean,test/macro_types/f1/mean,test_pretraining/micro/f1/mean,test/macro_types/precision/mean,test_incremental_only/macro_example_exclusive/recall/mean,threshold_incremental/mean,test_pretraining/macro_types/f1/mean,test/micro/f1/mean,test/macro_example/f1/mean,test_incremental_only/macro_types/f1/mean,test_incremental_only/macro_types/precision/mean,test_incremental/macro_example_exclusive/recall/mean,test/macro_types/recall/mean,test_incremental/micro/recall/mean,test_pretraining/micro/recall/mean,test_incremental/macro_types/precision/mean,test_incremental_only/macro_example/f1/mean,test_incremental_only/macro_example_exclusive/precision/mean,test_incremental/micro/f1/mean,test_pretraining/macro_example/f1/mean,test_incremental_only/micro/recall/mean,test_incremental/macro_types/f1/mean,test_incremental/macro_example/f1/mean,test_incremental_only/micro/f1/mean,test_incremental/macro_example/recall/mean,test_pretraining/macro_types/precision/mean,test_pretraining/macro_example/precision/mean,test_incremental_only/macro_example/recall/mean,test_incremental/macro_example_exclusive/f1/mean,test/micro/precision/mean,test_incremental_visual_art/macro_types/precision/mean,test/micro/recall/mean,test_incremental/macro_example/precision/mean,test_incremental_visual_art/macro_types/f1/mean,test_incremental/macro_example_exclusive/precision/mean,test/macro_example/recall/mean,test/macro_example/precision/mean,test_incremental/micro/precision/mean,test_incremental/macro_types/recall/mean,test_incremental_only/macro_example_exclusive/f1/mean,test_incremental_visual_art-color/macro_types/f1/mean,test_incremental_visual_art-color/macro_types/recall/mean,test_incremental_only/micro/precision/mean,test_pretraining/macro_example/recall/mean,test_incremental_visual_art/macro_types/recall/mean,test_incremental_visual_art-color/macro_types/precision/mean,test_incremental_only/macro_types/recall/std,epoch/std,threshold_pretraining/std,test_pretraining/micro/precision/std,test_pretraining/macro_types/recall/std,test_incremental_only/macro_example/precision/std,test/macro_types/f1/std,test_pretraining/micro/f1/std,test/macro_types/precision/std,test_incremental_only/macro_example_exclusive/recall/std,threshold_incremental/std,test_pretraining/macro_types/f1/std,test/micro/f1/std,test/macro_example/f1/std,test_incremental_only/macro_types/f1/std,test_incremental_only/macro_types/precision/std,test_incremental/macro_example_exclusive/recall/std,test/macro_types/recall/std,test_incremental/micro/recall/std,test_pretraining/micro/recall/std,test_incremental/macro_types/precision/std,test_incremental_only/macro_example/f1/std,test_incremental_only/macro_example_exclusive/precision/std,test_incremental/micro/f1/std,test_pretraining/macro_example/f1/std,test_incremental_only/micro/recall/std,test_incremental/macro_types/f1/std,test_incremental/macro_example/f1/std,test_incremental_only/micro/f1/std,test_incremental/macro_example/recall/std,test_pretraining/macro_types/precision/std,test_pretraining/macro_example/precision/std,test_incremental_only/macro_example/recall/std,test_incremental/macro_example_exclusive/f1/std,test/micro/precision/std,test_incremental_visual_art/macro_types/precision/std,test/micro/recall/std,test_incremental/macro_example/precision/std,test_incremental_visual_art/macro_types/f1/std,test_incremental/macro_example_exclusive/precision/std,test/macro_example/recall/std,test/macro_example/precision/std,test_incremental/micro/precision/std,test_incremental/macro_types/recall/std,test_incremental_only/macro_example_exclusive/f1/std,test_incremental_visual_art-color/macro_types/f1/std,test_incremental_visual_art-color/macro_types/recall/std,test_incremental_only/micro/precision/std,test_pretraining/macro_example/recall/std,test_incremental_visual_art/macro_types/recall/std,test_incremental_visual_art-color/macro_types/precision/std
no_init_box_kenn_bottom_up_adapter_bert_ms,0.9111110965410868,71.66666666666667,0.25,0.9051233132680258,0.8181162675221761,0.009510554373264313,0.8530600865681967,0.8927831053733826,0.8911229173342387,0.9111111362775167,0.09666666666666668,0.8530600865681967,0.8927831053733826,0.9156719644864401,0.9219825267791748,0.9347670276959738,0.8055555820465088,0.8181162675221761,0.8055555621782938,0.8807748754819235,0.944656232992808,0.009510554373264313,0.9111111362775167,0.868430515130361,0.9156719644864401,0.9111110965410868,0.8693883021672567,0.008925639713803927,0.9219825267791748,0.00840872215727965,0.8911229173342387,0.924692690372467,0.009510554373264313,0.8550762931505839,0.9051233132680258,0.9545454382896424,0.8807748754819235,0.009510554373264313,0.807692289352417,0.9111111362775167,0.9068255424499512,0.924692690372467,0.9425199826558431,0.805555522441864,0.9111111362775167,0.9219825267791748,0.9111110965410868,0.9347670276959738,0.9068255424499512,0.699999988079071,0.9347670276959738,0.0192450250322745,42.91076011134425,0.0,0.000408176651836971,0.00038490669494186015,0.00020088716160560972,0.0006233823414214229,0.00021075340164087073,0.0012905598792494434,0.019244990619516813,0.06506407098647711,0.0006233823414214229,0.00021075340164087073,0.00017894384843800723,0.032579635741851846,0.0645280734123633,0.009622529722516081,0.00038490669494186015,0.00962249530975839,0.00012660453560044553,0.03226406650298664,0.00020088716160560972,0.019244990619516813,0.016593986708491496,0.00017894384843800723,0.0192450250322745,0.01462520953376593,0.0001449540632485207,0.032579635741851846,0.00010044384965247468,0.0012905598792494434,0.00030135251923162635,0.00020088716160560972,0.013886648942627212,0.000408176651836971,0.0,0.00012660453560044553,0.00020088716160560972,0.0,0.019244990619516813,0.0001004508397437713,0.00030135251923162635,0.036966184909835505,0.009622529722516081,0.019244990619516813,0.032579635741851846,0.0192450250322745,0.0645280734123633,0.0001004508397437713,0.0,0.0645280734123633
no_init_box_kenn_horizontal_adapter_bert_ms,0.899999996026357,76.66666666666667,0.25,0.9053201476732889,0.8178940415382385,0.009394572116434574,0.8532201846440634,0.8928412795066833,0.8917362292607626,0.9000000158945719,0.18666666666666668,0.8532201846440634,0.8928412795066833,0.9157276749610901,0.9309941331545512,0.9654321074485779,0.8000000317891439,0.8178940415382385,0.800000011920929,0.8807017604509989,0.9599887728691101,0.009394572116434574,0.9000000158945719,0.8727064530054728,0.9157276749610901,0.899999996026357,0.8725699583689371,0.008892810282607874,0.9309941331545512,0.008350730873644352,0.8917362292607626,0.9248666763305664,0.009394572116434574,0.8519312739372253,0.9053201476732889,0.9545454382896424,0.8807017604509989,0.009510554373264313,0.807692289352417,0.9111111362775167,0.9067675471305847,0.9248666763305664,0.9603610833485922,0.7999999721844991,0.9000000158945719,0.9309941331545512,0.899999996026357,0.9654321074485779,0.9067675471305847,0.699999988079071,0.9654321074485779,0.03333333134651634,76.63115119410209,0.0,0.0001943011436103302,0.0006666779518127441,0.00034794677048921585,0.0003559221295963576,0.00011306397824639788,0.0006680179556565318,0.03333333134651632,0.23860706890897707,0.0003559221295963576,0.00011306397824639788,8.875131607050113e-05,0.01766042642748809,0.03340184729565648,0.016666680574425982,0.0006666779518127441,0.016666650772094727,0.0002193152911260268,0.016700940170721223,0.00034794677048921585,0.03333333134651632,0.009386842716111045,8.875131607050113e-05,0.03333333134651634,0.009200987234875245,0.0001802426371636454,0.01766042642748809,0.00017397385090589523,0.0006680179556565318,0.0,0.00034794677048921585,0.017267242350944158,0.0001943011436103302,0.0,0.0002193152911260268,0.00020088716160560972,0.0,0.019244990619516813,0.00017398595809933748,0.0,0.018669932567562435,0.016666680574425982,0.03333333134651632,0.01766042642748809,0.03333333134651634,0.03340184729565648,0.00017398595809933748,0.0,0.03340184729565648
no_init_box_kenn_hybrid_adapter_bert_ms,0.9111110965410868,47.0,0.25,0.9051912625630697,0.8181162675221761,0.009510554373264313,0.853148877620697,0.892816166083018,0.8913164734840393,0.9111111362775167,0.04,0.853148877620697,0.892816166083018,0.9157003959019979,0.9269005656242371,0.9444444378217062,0.8055555820465088,0.8181162675221761,0.8055555621782938,0.8807748754819235,0.9494949380556742,0.009510554373264313,0.9111111362775167,0.870958944161733,0.9157003959019979,0.9111110965410868,0.8714818358421326,0.008925639713803927,0.9269005656242371,0.00840872215727965,0.8913164734840393,0.9247506856918335,0.009510554373264313,0.8550762931505839,0.9051912625630697,0.9545454382896424,0.8807748754819235,0.009510554373264313,0.807692289352417,0.9111111362775167,0.9068255424499512,0.9247506856918335,0.948325494925181,0.805555522441864,0.9111111362775167,0.9269005656242371,0.9111110965410868,0.9444444378217062,0.9068255424499512,0.699999988079071,0.9444444378217062,0.0192450250322745,21.0,0.0,0.0003096014276784977,0.00038490669494186015,0.00020088716160560972,0.00047365239665670165,0.00015475356686470748,0.0010183348758427285,0.019244990619516813,0.01,0.00047365239665670165,0.00015475356686470748,0.00013180437961591137,0.02433057572231169,0.05091751769361266,0.009622529722516081,0.00038490669494186015,0.00962249530975839,0.00012660453560044553,0.025458788112107836,0.00020088716160560972,0.019244990619516813,0.012303764172577692,0.00013180437961591137,0.0192450250322745,0.011046426638955427,0.0001449540632485207,0.02433057572231169,0.00010044384965247468,0.0010183348758427285,0.00020090167948779098,0.00020088716160560972,0.013886648942627212,0.0003096014276784977,0.0,0.00012660453560044553,0.00020088716160560972,0.0,0.019244990619516813,0.0001004508397437713,0.00020090167948779098,0.028734026998825362,0.009622529722516081,0.019244990619516813,0.02433057572231169,0.0192450250322745,0.05091751769361266,0.0001004508397437713,0.0,0.05091751769361266
no_init_box_kenn_top_down_adapter_bert_ms,0.9222221970558167,93.33333333333333,0.25,0.9046558936436971,0.8183384935061137,0.00962653694053491,0.8527255058288574,0.8925928274790446,0.8901344935099283,0.9222222566604614,0.26,0.8527255058288574,0.8925928274790446,0.915549337863922,0.8970647056897482,0.8853448430697123,0.8111111323038737,0.8183384935061137,0.8111111124356588,0.8808479706446329,0.9199451406796774,0.00962653694053491,0.9222222566604614,0.855090339978536,0.915549337863922,0.9222221970558167,0.8606271346410116,0.009008975078662237,0.8970647056897482,0.00846671313047409,0.8901344935099283,0.9244027137756348,0.00962653694053491,0.8630598187446594,0.9046558936436971,0.9545454382896424,0.8808479706446329,0.00962653694053491,0.807692289352417,0.9222222566604614,0.9068642059961954,0.9244027137756348,0.9090733130772909,0.8111110726992289,0.9222222566604614,0.8970647056897482,0.9222221970558167,0.8853448430697123,0.9068642059961954,0.699999988079071,0.8853448430697123,0.03849001565179121,62.93912402737532,0.0,0.001168516432612129,0.0007698133898837684,0.0004017748609105583,0.0009146260220540636,0.00044162671091275984,0.0028615879611892324,0.038490015651791123,0.24515301344262524,0.0009146260220540636,0.00044162671091275984,0.00023881450204102207,0.06145180533254071,0.14308006727840863,0.01924502503227447,0.0007698133898837684,0.019244990619516733,0.00025320907120093914,0.07154006227924567,0.0004017748609105583,0.038490015651791123,0.031682679021194086,0.00023881450204102207,0.03849001565179121,0.02204279758635629,0.00028929514925040204,0.06145180533254071,0.00020088716160560972,0.0028615879611892324,0.0006586529762713797,0.0004017748609105583,0.027714520895092503,0.001168516432612129,0.0,0.00025320907120093914,0.0004017748609105583,0.0,0.038490015651791123,0.00016741806623974168,0.0006586529762713797,0.09092493789199405,0.01924502503227447,0.038490015651791123,0.06145180533254071,0.03849001565179121,0.14308006727840863,0.00016741806623974168,0.0,0.14308006727840863
no_init_kenn_bottom_up_adapter_bert_ms,0.9222222169240316,25.0,0.375,0.903084953625997,0.8627539873123169,0.00962653694053491,0.8800652821858724,0.9010096192359924,0.8981298605600992,0.9222222566604614,0.41333333333333333,0.8800652821858724,0.9010096192359924,0.9174174467722574,0.6396151383717855,0.5963114748398463,0.9111111164093018,0.8627539873123169,0.9111110965410868,0.899049699306488,0.7981557448705038,0.00962653694053491,0.9222222566604614,0.7252525289853414,0.9174174467722574,0.9222222169240316,0.8355845808982849,0.00979158841073513,0.6396151383717855,0.009510554373264311,0.8981298605600992,0.9205289085706075,0.00962653694053491,0.938034176826477,0.903084953625997,1.0,0.899049699306488,0.010090466278294722,0.9473683834075928,0.9666666785875956,0.9143779277801514,0.9205289085706075,0.677142858505249,0.9111110965410868,0.9222222367922465,0.6396151383717855,0.9222222169240316,0.5963114748398463,0.9143779277801514,0.8999999761581421,0.5963114748398463,0.13471507198764807,2.6457513110645907,0.0,0.01641289047374408,0.002694312451835427,0.0014062112066379462,0.0029564711400443307,0.007958870428858178,0.008375407443712657,0.13471500316213267,0.4956140971898734,0.0029564711400443307,0.007958870428858178,0.005542545140287547,0.3138755353907034,0.41877044455497003,0.06735750158106633,0.002694312451835427,0.06735753599382403,0.0008863005747186429,0.20938521073849006,0.0014062112066379462,0.13471500316213267,0.26441506854914404,0.005542545140287547,0.13471507198764807,0.09994932181330894,0.0006567470482445763,0.3138755353907034,0.0007031058721686418,0.008375407443712657,0.011502121884664152,0.0014062112066379462,0.06291629430980002,0.01641289047374408,0.0,0.0008863005747186429,0.0006026620225161684,0.0,0.05773500627130796,0.000669603439443811,0.011502121884664152,0.3712856782948733,0.06735753599382403,0.13471503757489037,0.3138755353907034,0.13471507198764807,0.41877044455497003,0.000669603439443811,0.0,0.41877044455497003
no_init_kenn_horizontal_adapter_bert_ms,0.9222222169240316,25.0,0.375,0.9072169661521912,0.8627539873123169,0.00962653694053491,0.8805059393246969,0.9030945698420206,0.8990417718887329,0.9222222566604614,0.5599999999999999,0.8805059393246969,0.9030945698420206,0.9187671939531962,0.690297394990921,0.6419068773587545,0.9111111164093018,0.8627539873123169,0.9111110965410868,0.899049699306488,0.8209534486134847,0.00962653694053491,0.9222222566604614,0.7740590373675028,0.9187671939531962,0.9222222169240316,0.8509894808133444,0.00979158841073513,0.690297394990921,0.009510554373264311,0.8990417718887329,0.9232197006543478,0.00962653694053491,0.938034176826477,0.9072169661521912,1.0,0.899049699306488,0.010090466278294722,0.9473683834075928,0.9666666785875956,0.9143779277801514,0.9232197006543478,0.7276056408882141,0.9111110965410868,0.9222222367922465,0.690297394990921,0.9222222169240316,0.6419068773587545,0.9143779277801514,0.8999999761581421,0.6419068773587545,0.13471507198764807,2.6457513110645907,0.0,0.009955173845582475,0.002694312451835427,0.0014062112066379462,0.0026274084098158834,0.00468763096506392,0.007592503933268326,0.13471500316213267,0.48815980989835694,0.0026274084098158834,0.00468763096506392,0.0033522260690837164,0.2597716761598746,0.3796255559390925,0.06735750158106633,0.002694312451835427,0.06735753599382403,0.0008863005747186429,0.18981277953615616,0.0014062112066379462,0.13471500316213267,0.20116731836281176,0.0033522260690837164,0.13471507198764807,0.08636506255545669,0.0006567470482445763,0.2597716761598746,0.0007031058721686418,0.007592503933268326,0.007153633872207501,0.0014062112066379462,0.06291629430980002,0.009955173845582475,0.0,0.0008863005747186429,0.0006026620225161684,0.0,0.05773500627130796,0.000669603439443811,0.007153633872207501,0.3167689294990722,0.06735753599382403,0.13471503757489037,0.2597716761598746,0.13471507198764807,0.3796255559390925,0.000669603439443811,0.0,0.3796255559390925
no_init_kenn_hybrid_adapter_bert_ms,0.9222222169240316,23.333333333333332,0.375,0.9008826812108358,0.8627539873123169,0.00962653694053491,0.8800205588340759,0.8998840848604838,0.8980388442675272,0.9222222566604614,0.41333333333333333,0.8800205588340759,0.8998840848604838,0.9166263341903687,0.6293697307507197,0.59176138540109,0.9111111164093018,0.8627539873123169,0.9111110965410868,0.899049699306488,0.7958806753158569,0.00962653694053491,0.9222222566604614,0.7107954124609629,0.9166263341903687,0.9222222169240316,0.8333826263745626,0.00979158841073513,0.6293697307507197,0.009510554373264311,0.8980388442675272,0.9189650615056356,0.00962653694053491,0.938034176826477,0.9008826812108358,1.0,0.899049699306488,0.010090466278294722,0.9473683834075928,0.9666666785875956,0.9143779277801514,0.9189650615056356,0.6673258692026138,0.9111110965410868,0.9222222367922465,0.6293697307507197,0.9222222169240316,0.59176138540109,0.9143779277801514,0.8999999761581421,0.59176138540109,0.13471507198764807,4.509249752822893,0.0,0.020375526907949512,0.002694312451835427,0.0014062112066379462,0.0031303488148588885,0.009989687240208156,0.008667717009062941,0.13471500316213267,0.5103266927501767,0.0031303488148588885,0.009989687240208156,0.0069839700448639415,0.33928074773362943,0.4333848102528379,0.06735750158106633,0.002694312451835427,0.06735753599382403,0.0008863005747186429,0.21669241525381663,0.0014062112066379462,0.13471500316213267,0.29437898660704714,0.0069839700448639415,0.13471507198764807,0.10672216106887196,0.0006567470482445763,0.33928074773362943,0.0007031058721686418,0.008667717009062941,0.014342196488577071,0.0014062112066379462,0.06291629430980002,0.020375526907949512,0.0,0.0008863005747186429,0.0006026620225161684,0.0,0.05773500627130796,0.000669603439443811,0.014342196488577071,0.39435589979371677,0.06735753599382403,0.13471503757489037,0.33928074773362943,0.13471507198764807,0.4333848102528379,0.000669603439443811,0.0,0.4333848102528379
no_init_kenn_top_down_adapter_bert_ms,0.9222222169240316,25.0,0.375,0.9008009831110636,0.8627539873123169,0.00962653694053491,0.8798662821451823,0.8998472094535828,0.8977177739143372,0.9222222566604614,0.5266666666666667,0.8798662821451823,0.8998472094535828,0.9166531165440878,0.6175225625435511,0.5757080713907877,0.9111111164093018,0.8627539873123169,0.9111110965410868,0.899049699306488,0.7878540356953939,0.00962653694053491,0.9222222566604614,0.7038051585356394,0.9166531165440878,0.9222222169240316,0.8287498156229655,0.00979158841073513,0.6175225625435511,0.009510554373264311,0.8977177739143372,0.9190134008725485,0.00962653694053491,0.938034176826477,0.9008009831110636,1.0,0.899049699306488,0.010090466278294722,0.9473683834075928,0.9666666785875956,0.9143779277801514,0.9190134008725485,0.6551123708486557,0.9111110965410868,0.9222222367922465,0.6175225625435511,0.9222222169240316,0.5757080713907877,0.9143779277801514,0.8999999761581421,0.5757080713907877,0.13471507198764807,2.6457513110645907,0.0,0.01985670527537589,0.002694312451835427,0.0014062112066379462,0.00303276685213911,0.009718861261028373,0.008613845470827447,0.13471500316213267,0.46003623045726877,0.00303276685213911,0.009718861261028373,0.006708511461080372,0.32975432573345065,0.4306922132003528,0.06735750158106633,0.002694312451835427,0.06735753599382403,0.0008863005747186429,0.2153461221467406,0.0014062112066379462,0.13471500316213267,0.2867015773494662,0.006708511461080372,0.13471507198764807,0.10341826372677701,0.0006567470482445763,0.32975432573345065,0.0007031058721686418,0.008613845470827447,0.013807879420800924,0.0014062112066379462,0.06291629430980002,0.01985670527537589,0.0,0.0008863005747186429,0.0006026620225161684,0.0,0.05773500627130796,0.000669603439443811,0.013807879420800924,0.3882841039966876,0.06735753599382403,0.13471503757489037,0.32975432573345065,0.13471507198764807,0.4306922132003528,0.000669603439443811,0.0,0.4306922132003528
smart_init_box_adapter_bert_ms,0.9111110965410868,40.0,0.25,0.9049878120422363,0.8181162675221761,0.009510554683705172,0.8529533942540487,0.8927169640858968,0.8908932010332743,0.9111111362775167,0.27666666666666667,0.8529533942540487,0.8927169640858968,0.9156336188316345,0.9127979278564453,0.9232804377873739,0.8055555820465088,0.8181162675221761,0.8055555621782938,0.8807748556137085,0.9389129479726156,0.009510554683705172,0.9111111362775167,0.8635184168815613,0.9156336188316345,0.9111110965410868,0.8660540183385214,0.008976145647466183,0.9127979278564453,0.008408721846838793,0.8908932010332743,0.9246347149213155,0.009510554683705172,0.8599147995313009,0.9049878120422363,0.9545454382896424,0.8807748556137085,0.00962653694053491,0.807692289352417,0.9222222566604614,0.906806210676829,0.9246347149213155,0.9337452054023743,0.805555522441864,0.9111111362775167,0.9127979278564453,0.9111110965410868,0.9232804377873739,0.906806210676829,0.699999988079071,0.9232804377873739,0.05091749168001303,14.177446878757825,0.0,0.0007395395444827307,0.0010183673927799922,0.0005314979792722335,0.00041331867517354595,0.0001949842794637882,0.002070079116414082,0.05091751769361263,0.2516611478423583,0.00041331867517354595,0.0001949842794637882,9.681759523805728e-05,0.02947935630470858,0.10350475105675475,0.025458762098508163,0.0010183673927799922,0.02545872958150611,0.00033499013040883766,0.0517523637216543,0.0005314979792722335,0.05091751769361263,0.01395891843821329,9.681759523805728e-05,0.05091749168001303,0.00877702097830395,0.0003215197801997629,0.02947935630470858,0.0002657489388283485,0.002070079116414082,0.0004017689462178759,0.0005314979792722335,0.030801596259708856,0.0007395395444827307,0.0,0.00033499013040883766,0.0004017748609105583,0.0,0.038490015651791123,0.00023438529273575327,0.0004017689462178759,0.0628088747209804,0.025458762098508163,0.05091751769361263,0.02947935630470858,0.05091749168001303,0.10350475105675475,0.00023438529273575327,0.0,0.10350475105675475
smart_init_classifier_adapter_bert_ms,0.9333333373069763,8.666666666666666,0.375,0.9132769902547201,0.8629762132962545,0.009742519197364649,0.8827231526374817,0.9061441222826639,0.9034038782119751,0.9333333373069763,0.6766666666666667,0.8827231526374817,0.9061441222826639,0.9211364587148031,0.8846588333447775,0.8600138624509176,0.9166666666666666,0.8629762132962545,0.9166666666666666,0.8991228143374125,0.9300069411595663,0.009742519197364649,0.9333333373069763,0.9143452048301697,0.9211364587148031,0.9333333373069763,0.9207427700360616,0.009822559542953968,0.8846588333447775,0.009568545967340468,0.9034038782119751,0.927936315536499,0.009742519197364649,0.9410011967023214,0.9132769902547201,1.0,0.8991228143374125,0.010090466278294722,0.9473683834075928,0.9666666785875956,0.9144359230995178,0.927936315536499,0.9180871248245239,0.9166666666666666,0.9333333571751913,0.8846588333447775,0.9333333373069763,0.8600138624509176,0.9144359230995178,0.8999999761581421,0.8600138624509176,0.1154700469553736,3.5118845842842465,0.0,0.0008968843942915513,0.002309405756893543,0.0012053240450323364,0.00020641036850096062,0.000109258197056823,0.0024600485207358505,0.1154700469553736,0.27153882472555063,0.00020641036850096062,0.000109258197056823,0.00010020392329905408,0.013485699064053556,0.12300127468425659,0.05773500627130796,0.002309405756893543,0.05773500627130796,0.0007596616263604834,0.06150062634408675,0.0012053240450323364,0.1154700469553736,0.008302237547906306,0.00010020392329905408,0.1154700469553736,0.005733960595647207,0.0006031034736736147,0.013485699064053556,0.0006026614848168281,0.0024600485207358505,0.00038611755009450446,0.0012053240450323364,0.05777726513777094,0.0008968843942915513,0.0,0.0007596616263604834,0.0006026620225161684,0.0,0.05773500627130796,0.0005691525996999276,0.00038611755009450446,0.07221070430750753,0.05773500627130796,0.11547001254261591,0.013485699064053556,0.1154700469553736,0.12300127468425659,0.0005691525996999276,0.0,0.12300127468425659
smart_init_kenn_bottom_up_adapter_bert_ms,0.9555555582046509,9.666666666666666,0.375,0.9133574962615967,0.8634206453959147,0.009974484021464983,0.8830287456512451,0.9062581260999044,0.9035540421803793,0.9555555582046509,0.48,0.8830287456512451,0.9062581260999044,0.9212144414583842,0.9024091958999634,0.8675213654836019,0.9277777671813965,0.8634206453959147,0.9277777671813965,0.8992690046628317,0.9337606827418009,0.009974484021464983,0.9555555582046509,0.9232147733370463,0.9212144414583842,0.9555555582046509,0.929077128569285,0.009882764890789986,0.9024091958999634,0.00968452791372935,0.9035540421803793,0.9279749592145284,0.009974484021464983,0.9467688798904419,0.9133574962615967,1.0,0.8992690046628317,0.010090466278294722,0.9473683834075928,0.9666666785875956,0.9145519137382507,0.9279749592145284,0.9227994283040365,0.9277777671813965,0.9555555582046509,0.9024091958999634,0.9555555582046509,0.8675213654836019,0.9145519137382507,0.8999999761581421,0.8675213654836019,0.07698003130358241,3.5118845842842465,0.0,0.0008907501366521473,0.0015396267797675128,0.000803549184121778,0.0004210954004510274,0.00021549681857611008,0.0023824713214965006,0.07698003130358241,0.4430575583375144,0.0004210954004510274,0.00021549681857611008,4.5037465749739356e-05,0.03006525112614601,0.11912273106323429,0.03849001565179121,0.0015396267797675128,0.03849001565179121,0.0005064525551595442,0.05956135751298537,0.000803549184121778,0.07698003130358241,0.01693735988467572,4.5037465749739356e-05,0.07698003130358241,0.011479123638603839,0.0004988247523342764,0.03006525112614601,0.0004017748609105566,0.0023824713214965006,0.0003621567932546887,0.000803549184121778,0.04778734481398536,0.0008907501366521473,0.0,0.0005064525551595442,0.0006026620225161684,0.0,0.05773500627130796,0.0003682509202120886,0.0003621567932546887,0.06994836402475135,0.03849001565179121,0.07698003130358241,0.03006525112614601,0.07698003130358241,0.11912273106323429,0.0003682509202120886,0.0,0.11912273106323429
smart_init_kenn_hybrid_adapter_bert_ms,0.9666666587193807,9.333333333333334,0.375,0.9133638540903727,0.8636428713798523,0.010090466278294722,0.8831454912821451,0.9062984387079874,0.9035540421803793,0.9666666785875956,0.4566666666666666,0.8831454912821451,0.9062984387079874,0.9212438861529032,0.9086748361587524,0.8675213654836019,0.9333333373069763,0.8636428713798523,0.9333333174387614,0.8993420998255411,0.9337606827418009,0.010090466278294722,0.9666666785875956,0.9263198773066202,0.9212438861529032,0.9666666587193807,0.932182232538859,0.009912031702697277,0.9086748361587524,0.009742519197364647,0.9035540421803793,0.9279749592145284,0.010090466278294722,0.9495726227760315,0.9133638540903727,1.0,0.8993420998255411,0.010090466278294722,0.9473683834075928,0.9666666785875956,0.9146099090576172,0.9279749592145284,0.9227994283040365,0.9333333174387614,0.9666666785875956,0.9086748361587524,0.9666666587193807,0.8675213654836019,0.9146099090576172,0.8999999761581421,0.8675213654836019,0.057735040684065646,4.041451884327381,0.0,0.000901105650100259,0.0011547200848256286,0.0006026620225161684,0.0005786199117981188,0.0002700020759026419,0.0023824713214965006,0.05773500627130796,0.4628534685333289,0.0005786199117981188,0.0002700020759026419,5.6884455034740485e-05,0.038903266237086336,0.11912273106323429,0.028867485929275124,0.0011547200848256286,0.028867520342032837,0.00037984801955909866,0.05956135751298537,0.0006026620225161684,0.05773500627130796,0.021307804847534757,5.6884455034740485e-05,0.057735040684065646,0.015630387057265223,0.00044813314713528586,0.038903266237086336,0.0003013310112580834,0.0023824713214965006,0.0003621567932546887,0.0006026620225161684,0.0429311196847844,0.000901105650100259,0.0,0.00037984801955909866,0.0006026620225161684,0.0,0.05773500627130796,0.00026780008046834933,0.0003621567932546887,0.06994836402475135,0.028867520342032837,0.05773500627130796,0.038903266237086336,0.057735040684065646,0.11912273106323429,0.00026780008046834933,0.0,0.11912273106323429
smart_init_kenn_top_down_adapter_bert_ms,0.9666666587193807,8.666666666666666,0.375,0.9132962028185526,0.8636428713798523,0.010090466278294722,0.8830840786298116,0.9062650799751282,0.9034258524576823,0.9666666785875956,0.6433333333333333,0.8830840786298116,0.9062650799751282,0.9212438861529032,0.9045340617497762,0.8611111044883728,0.9333333373069763,0.8636428713798523,0.9333333174387614,0.8993420998255411,0.930555542310079,0.010090466278294722,0.9666666785875956,0.9239451686541239,0.9212438861529032,0.9666666587193807,0.9304543336232504,0.009912031702697277,0.9045340617497762,0.009742519197364647,0.9034258524576823,0.9279749592145284,0.010090466278294722,0.9495726227760315,0.9132962028185526,1.0,0.8993420998255411,0.010090466278294722,0.9473683834075928,0.9666666785875956,0.9146099090576172,0.9279749592145284,0.9185027281443278,0.9333333174387614,0.9666666785875956,0.9045340617497762,0.9666666587193807,0.8611111044883728,0.9146099090576172,0.8999999761581421,0.8611111044883728,0.057735040684065646,3.5118845842842465,0.0,0.0009934455348917044,0.0011547200848256286,0.0006026620225161684,0.000674417601269017,0.00032284876062936823,0.002545872958150579,0.05773500627130796,0.3003886371574886,0.000674417601269017,0.00032284876062936823,5.6884455034740485e-05,0.04528503993330174,0.12729377147212936,0.028867485929275124,0.0011547200848256286,0.028867520342032837,0.00037984801955909866,0.06364688898776838,0.0006026620225161684,0.05773500627130796,0.024990437017566227,5.6884455034740485e-05,0.057735040684065646,0.0183414989364325,0.00044813314713528586,0.04528503993330174,0.0003013310112580834,0.002545872958150579,0.0003621567932546887,0.0006026620225161684,0.0429311196847844,0.0009934455348917044,0.0,0.00037984801955909866,0.0006026620225161684,0.0,0.05773500627130796,0.00026780008046834933,0.0003621567932546887,0.07556967801342732,0.028867520342032837,0.05773500627130796,0.04528503993330174,0.057735040684065646,0.12729377147212936,0.00026780008046834933,0.0,0.12729377147212936
