name,instance,run_id,test_pretraining/macro_example/f1,test_incremental_only/micro/recall,test_incremental/macro_example/precision,test_pretraining/macro_example/precision,test_incremental_location-geography/macro_types/f1,test_incremental_only/macro_example_exclusive/precision,test_incremental/micro/f1,test/macro_types/precision,test/macro_types/recall,test/macro_example/recall,test_incremental/macro_example/recall,test_incremental_only/macro_types/precision,test_incremental_location-geography-island/macro_types/recall,test_incremental_location-geography-mountain/macro_types/precision,test_pretraining/micro/f1,test_pretraining/macro_types/f1,test_incremental/macro_types/precision,test_incremental_only/macro_example_exclusive/recall,test/macro_types/f1,test_incremental_only/micro/f1,test_incremental_only/macro_example/recall,test_incremental_only/macro_example_exclusive/f1,test/micro/recall,test_incremental/micro/recall,test_incremental_location-geography-mountain/macro_types/f1,test_incremental_location-geography-body_of_water/macro_types/recall,test/micro/precision,test_pretraining/macro_types/recall,test_incremental/macro_example_exclusive/precision,test_incremental_location-geography-body_of_water/macro_types/f1,test_incremental/macro_example_exclusive/recall,threshold_incremental,test/macro_example/precision,test_incremental/macro_types/recall,test_incremental_only/macro_example/f1,test_incremental_location-geography-island/macro_types/f1,test_incremental_location-geography-body_of_water/macro_types/precision,test_pretraining/micro/recall,test_pretraining/micro/precision,test_incremental_only/micro/precision,test_incremental_location-geography-mountain/macro_types/recall,epoch,test/micro/f1,threshold_pretraining,test_incremental/micro/precision,test_incremental/macro_example/f1,test_incremental_location-geography/macro_types/recall,test_incremental/macro_types/f1,test_incremental_only/macro_types/recall,test/macro_example/f1,test_pretraining/macro_types/precision,test_incremental/macro_example_exclusive/f1,test_incremental_only/macro_types/f1,test_incremental_only/macro_example/precision,test_incremental_location-geography/macro_types/precision,test_incremental_location-geography-island/macro_types/precision,test_pretraining/macro_example/recall
kenn_hybrid_adapter_bert_ms,2,23xskdjh,0.8555929064750671,0.8777777552604675,0.038316063582897186,0.8466893434524536,0.7837837934494019,0.8611111640930176,0.5569105744361877,0.8309568166732788,0.8181894421577454,0.8646856546401978,0.03379378467798233,0.3139989674091339,0.8333333134651184,0.3684210479259491,0.8436036705970764,0.8245236873626709,0.48549923300743103,0.8777778148651123,0.8245236873626709,0.4593023359775543,0.0389738529920578,0.8693646192550659,0.856616199016571,0.7611111402511597,0.5283018946647644,0.8666666746139526,0.8309805989265442,0.8181894421577454,0.8629629611968994,0.4444444477558136,0.7611111402511597,0.02,0.8466893434524536,0.8194444179534912,0.03860029950737953,0.41322314739227295,0.29885056614875793,0.856616199016571,0.8309805989265442,0.31102362275123596,0.9333333373069764,40,0.8436036705970764,0.33,0.43910256028175354,0.03591311722993851,0.644444465637207,0.6097422242164612,0.8777778148651123,0.8555929064750671,0.8309568166732788,0.8088432550430298,0.4625385105609894,0.038233838975429535,1,0.2747252881526947,0.8646856546401978
kenn_top_down_adapter_bert_ms,2,15np8cag,0.8539230227470398,0.8777777552604675,0.03806939721107483,0.8434250354766846,0.7837837934494019,0.8555556535720825,0.5289575457572937,0.8295873403549194,0.8181894421577454,0.8646856546401978,0.03379378467798233,0.2911747097969055,0.8666666746139526,0.37837839126586914,0.8415133953094482,0.8238489031791687,0.46838101744651794,0.8777778148651123,0.8238489031791687,0.4270270168781281,0.0389738529920578,0.8665242791175842,0.856616199016571,0.7611111402511597,0.5384615063667297,0.8333333134651184,0.8269338607788086,0.8181894421577454,0.8574074506759644,0.37593987584114075,0.7611111402511597,0.05,0.8434250354766846,0.8194444179534912,0.0384741872549057,0.3909774422645569,0.242718443274498,0.856616199016571,0.8269338607788086,0.28214284777641296,0.9333333373069764,49,0.8415133953094482,0.33,0.4053254425525666,0.035804398357868195,0.644444465637207,0.5960624814033508,0.8777778148651123,0.8539230227470398,0.8295873403549194,0.806394636631012,0.4372918903827667,0.03798717260360718,1,0.25242719054222107,0.8646856546401978
kenn_bottom_up_adapter_bert_ms,2,16udfgz2,0.8566470742225647,0.855555534362793,0.03732938691973686,0.8490737676620483,0.7837837934494019,0.838888943195343,0.578158438205719,0.832781970500946,0.8168560862541199,0.8643567562103271,0.03330044448375702,0.34441864490509033,0.8333333134651184,0.3913043439388275,0.8452403545379639,0.8247421979904175,0.5083139538764954,0.8555556535720825,0.8247421979904175,0.48275861144065857,0.03798717260360718,0.8471402525901794,0.8562281727790833,0.75,0.5454545021057129,0.8333333134651184,0.8345310091972351,0.8168560862541199,0.8407407999038696,0.5154638886451721,0.7500000596046448,0.03,0.8490737676620483,0.8027777671813965,0.03761352598667145,0.4065040647983551,0.3731343150138855,0.8562281727790833,0.8345310091972351,0.3362445533275604,0.8999999761581421,30,0.8452403545379639,0.33,0.47038328647613525,0.03519999980926514,0.644444465637207,0.6224784255027771,0.8555555939674377,0.8566470742225647,0.832781970500946,0.7927823066711426,0.49112603068351746,0.03724716231226921,1,0.2688172161579132,0.8643567562103271
kenn_hybrid_adapter_bert_ms,1,25cy1aby,0.8640521764755249,0.6777777671813965,0.030587073415517807,0.8663083910942078,0.7837837934494019,0.6777778267860413,0.7579618096351624,0.8602907657623291,0.8061894178390503,0.8618078231811523,0.02935372292995453,0.8028985857963562,0.6333333253860474,0.782608687877655,0.8546991944313049,0.8323619365692139,0.852173924446106,0.6777778267860413,0.8323619365692139,0.734939694404602,0.030093733221292496,0.6777778267860413,0.8531237840652466,0.6611111164093018,0.6792453527450562,0.800000011920929,0.8562804460525513,0.8061894178390503,0.6888889074325562,0.8000000715255737,0.6611111164093018,0.42,0.8663083910942078,0.6694444417953491,0.030093733221292496,0.7169811725616455,0.800000011920929,0.8531237840652466,0.8562804460525513,0.8026315569877625,0.6000000238418579,16,0.8546991944313049,0.33,0.888059675693512,0.029957709833979607,0.644444465637207,0.7498372793197632,0.6777778267860413,0.8640521764755249,0.8602907657623291,0.674714207649231,0.735051691532135,0.030093733221292496,1,0.8260869383811951,0.8618078231811523
kenn_top_down_adapter_bert_ms,1,3p7e61do,0.8631947040557861,0.7555555701255798,0.034040454775094986,0.8634716868400574,0.7837837934494019,0.7555556297302246,0.7455621361732483,0.8532326817512512,0.8108561038970947,0.8629178404808044,0.03108041360974312,0.6852638721466064,0.699999988079071,0.6571428775787354,0.8540676832199097,0.8315048813819885,0.7639478445053101,0.7555556297302246,0.8315048813819885,0.7157894968986511,0.033547114580869675,0.7555556297302246,0.8544819355010986,0.699999988079071,0.7076922655105591,0.800000011920929,0.8536537885665894,0.8108561038970947,0.7666667103767395,0.7164179086685181,0.7000000476837158,0.33,0.8634716868400574,0.7277777791023254,0.033547114580869675,0.7241379022598267,0.6486486196517944,0.8544819355010986,0.8536537885665894,0.6800000071525574,0.7666666507720947,16,0.8540676832199097,0.33,0.797468364238739,0.03249315917491913,0.644444465637207,0.7454242706298828,0.7555556297302246,0.8631947040557861,0.8532326817512512,0.7318182587623596,0.7186951041221619,0.033547114580869675,1,0.75,0.8629178404808044
kenn_bottom_up_adapter_bert_ms,1,3q0jl2op,0.8638689517974854,0.6888889074325562,0.03157375380396843,0.8657739162445068,0.7837837934494019,0.6888889074325562,0.761904776096344,0.8603352308273315,0.806856095790863,0.8619723320007324,0.029600394889712337,0.8036398887634277,0.6000000238418579,0.8333333134651184,0.8548104763031006,0.832737922668457,0.852729856967926,0.6888889074325562,0.832737922668457,0.7425150275230408,0.030587073415517807,0.6888889074325562,0.8533177971839905,0.6666666865348816,0.7407407760620117,0.800000011920929,0.8563084006309509,0.806856095790863,0.7111111283302307,0.813559353351593,0.6666666865348816,0.36000000000000004,0.8657739162445068,0.6777778267860413,0.030587073415517807,0.6666666865348816,0.8275862336158752,0.8533177971839905,0.8563084006309509,0.8051947951316833,0.6666666865348816,16,0.8548104763031006,0.33,0.8888888955116272,0.030555246397852898,0.644444465637207,0.7552544474601746,0.6888889074325562,0.8638689517974854,0.8603352308273315,0.6881720423698425,0.7418531775474548,0.030587073415517807,1,0.75,0.8619723320007324
kenn_hybrid_adapter_bert_ms,0,37h9akeu,0.8585352301597595,0.6888889074325562,0.030504850670695305,0.8550848960876465,0.7837837934494019,0.6777778267860413,0.6299212574958801,0.8448116183280945,0.806856095790863,0.8620133996009827,0.029600394889712337,0.5449126958847046,0.6333333253860474,0.6551724076271057,0.8493626713752747,0.8253977298736572,0.658684492111206,0.6888889670372009,0.8253977298736572,0.5321887731552124,0.030587075278162956,0.6832882165908813,0.8533177971839905,0.6666666865348816,0.6440677642822266,0.800000011920929,0.8454440832138062,0.806856095790863,0.6870371103286743,0.41025641560554504,0.6666667461395264,0.1,0.8550848960876465,0.6777777671813965,0.030338400974869728,0.6666666269302368,0.27586206793785095,0.8533177971839905,0.8454440832138062,0.4335664212703705,0.6333333253860474,29,0.8493626713752747,0.33,0.5970149040222168,0.03004581853747368,0.644444465637207,0.6680947542190552,0.6888889074325562,0.8585352301597595,0.8448116183280945,0.6766986846923828,0.6085002422332764,0.030093735083937645,1,0.7037037014961243,0.8620133996009827
kenn_top_down_adapter_bert_ms,0,1k4nidh2,0.84211266040802,0.800000011920929,0.03387600556015968,0.8216906785964966,0.7837837934494019,0.7574074864387512,0.38632988929748535,0.8254916667938232,0.8135227560997009,0.8635756373405457,0.03206709399819374,0.222913920879364,0.8333333134651184,0.28947368264198303,0.8279489278793335,0.8194634318351746,0.4171854257583618,0.8000000715255737,0.8194634318351746,0.2742857038974762,0.03552047163248062,0.778121292591095,0.855258047580719,0.7222222089767456,0.4150943458080292,0.8333333134651184,0.8023298382759094,0.8135227560997009,0.7629629969596863,0.16556291282176971,0.7222222685813904,0.06999999999999999,0.8216906785964966,0.7611111402511597,0.0345490425825119,0.4273504316806793,0.09191176295280457,0.855258047580719,0.8023298382759094,0.16551724076271057,0.7333333492279053,29,0.8279489278793335,0.33,0.2636916935443878,0.032946739345788956,0.644444465637207,0.5389550924301147,0.8000000715255737,0.84211266040802,0.8254916667938232,0.742033839225769,0.3486728370189667,0.03362933546304703,1,0.28735631704330444,0.8635756373405457
kenn_bottom_up_adapter_bert_ms,0,2mwdrg8z,0.8565744757652283,0.7111111283302307,0.03149152919650078,0.8508833050727844,0.7837837934494019,0.7000000476837158,0.5907990336418152,0.8417856097221375,0.8081894516944885,0.8623422980308533,0.030093735083937645,0.4944796562194824,0.6333333253860474,0.65625,0.8471313118934631,0.824645459651947,0.6208597421646118,0.7111111283302307,0.824645459651947,0.4830188751220703,0.03157375380396843,0.7055118680000305,0.853705883026123,0.6777777671813965,0.6774193048477173,0.800000011920929,0.8406572341918945,0.8081894516944885,0.7092592716217041,0.3380281925201416,0.6777777671813965,0.06999999999999999,0.8508833050727844,0.6944444179534912,0.03132513910531998,0.6229508519172668,0.2142857164144516,0.853705883026123,0.8406572341918945,0.36571428179740906,0.699999988079071,28,0.8471313118934631,0.33,0.5236051678657532,0.030776770785450935,0.644444465637207,0.655593752861023,0.7111111283302307,0.8565744757652283,0.8417856097221375,0.6931612491607666,0.5833322405815125,0.03108041360974312,1,0.6129032373428345,0.8623422980308533
box_adapter_bert_ms,2,2djc9cpk,0.6858286261558533,0.47777777910232544,0.027380365878343586,0.5991417169570923,0.6153846383094788,0.4777778089046478,0.07614678889513016,0.7069830894470215,0.6563655138015747,0.801843523979187,0.020473606884479523,0.02276264876127243,0.30000001192092896,0.016344724223017693,0.6854539513587952,0.6807346343994141,0.2670719623565674,0.4777778089046478,0.6807346343994141,0.04195121675729752,0.02121361717581749,0.4777778089046478,0.78812575340271,0.4611110985279083,0.03129445016384125,0.7666666507720947,0.6064496636390686,0.6563655138015747,0.6166666746139526,0.07431340962648392,0.4611111581325531,0.97,0.5991417169570923,0.4694444239139557,0.02121361717581749,0.024725275114178658,0.03904923424124718,0.78812575340271,0.6064496636390686,0.02193877473473549,0.36666667461395264,6,0.6854539513587952,0.26,0.04149999842047691,0.02342856116592884,0.4444444477558136,0.3404552936553955,0.4777778089046478,0.6858286261558533,0.7069830894470215,0.5276632308959961,0.043454986065626144,0.02121361717581749,1,0.012893983162939548,0.801843523979187
box_adapter_bert_ms,1,14t2j93u,0.6857337355613708,0.8333333134651184,0.037000492215156555,0.5961159467697144,0.6153846383094788,0.8333333730697632,0.10235869884490968,0.7129197120666504,0.6776988506317139,0.8070647716522217,0.028367042541503903,0.12170735001564026,0.9333333373069764,0.08455882221460342,0.6869703531265259,0.6948632597923279,0.3412805199623108,0.8333333730697632,0.6948632597923279,0.07085498422384262,0.037000492215156555,0.833333432674408,0.7943344712257385,0.6388888955116272,0.1523178666830063,0.800000011920929,0.6051737070083618,0.6776988506317139,0.8333333730697632,0.39669421315193176,0.638888955116272,0.99,0.5961159467697144,0.7361111044883728,0.037000492215156555,0.03305785357952118,0.2637362778186798,0.7943344712257385,0.6051737070083618,0.037000492215156555,0.7666666507720947,64,0.6869703531265259,0.26,0.05563618615269661,0.032113634049892426,0.4444444477558136,0.4663492143154144,0.8333333730697632,0.6857337355613708,0.7129197120666504,0.7232704758644104,0.21239471435546875,0.037000492215156555,1,0.016826923936605453,0.8070647716522217
box_adapter_bert_ms,0,4fs3b03i,0.686970591545105,0.5444444417953491,0.029107052832841873,0.6003339886665344,0.6153846383094788,0.5444444417953491,0.08165137469768524,0.7162176370620728,0.6603655815124512,0.8028302192687988,0.021953625604510307,0.17667226493358612,0.4000000059604645,0.010878010652959349,0.6864664554595947,0.6871585845947266,0.3825041651725769,0.5444444417953491,0.6871585845947266,0.047804880887269974,0.02417365461587906,0.5444444417953491,0.7892898917198181,0.49444442987442017,0.021260440349578857,0.7666666507720947,0.607345461845398,0.6603655815124512,0.6555556058883667,0.6052631735801697,0.49444448947906494,0.97,0.6003339886665344,0.519444465637207,0.02417365461587906,0.03652967885136604,0.5,0.7892898917198181,0.607345461845398,0.02500000037252903,0.46666666865348816,7,0.6864664554595947,0.26,0.04450000077486038,0.02502925507724285,0.4444444477558136,0.4405786693096161,0.5444444417953491,0.686970591545105,0.7162176370620728,0.5637145042419434,0.2667757570743561,0.02417365461587906,1,0.0191387552767992,0.8028302192687988
classifier_adapter_bert_ms,2,3bzpshf8,0.8592977523803711,0.7333333492279053,0.033547110855579376,0.8559911251068115,0.7837837934494019,0.73333340883255,0.5403050184249878,0.8299998641014099,0.8095227479934692,0.8626300692558289,0.030587075278162956,0.29805058240890503,0.699999988079071,0.28985506296157837,0.843779981136322,0.8196334838867188,0.4735379219055176,0.73333340883255,0.8196334838867188,0.42443734407424927,0.032560430467128754,0.73333340883255,0.8540939092636108,0.6888889074325562,0.4040403962135315,0.8333333134651184,0.833712100982666,0.8095227479934692,0.7555556297302246,0.46296295523643494,0.6888889074325562,0.74,0.8559911251068115,0.7111110687255859,0.032560430467128754,0.4038461446762085,0.3205128312110901,0.8540939092636108,0.833712100982666,0.2986425459384918,0.6666666865348816,24,0.843779981136322,0.33,0.4444444477558136,0.031998783349990845,0.644444465637207,0.56850266456604,0.7333333492279053,0.8592977523803711,0.8299998641014099,0.720683753490448,0.4238390922546386,0.032560430467128754,1,0.28378379344940186,0.8626300692558289
classifier_adapter_bert_ms,1,3b72ocjg,0.8640933632850647,0.6777777671813965,0.030504848808050156,0.866349458694458,0.7837837934494019,0.6611111164093018,0.7603834271430969,0.8608163595199585,0.8061894178390503,0.8618489503860474,0.02935372292995453,0.8116586208343506,0.6000000238418579,0.8260869383811951,0.8547822833061218,0.8326078653335571,0.8587439656257629,0.6777778267860413,0.8326078653335571,0.7393940091133118,0.030093733221292496,0.6693407893180847,0.8531237840652466,0.6611111164093018,0.7169811725616455,0.800000011920929,0.8564472198486328,0.8061894178390503,0.6870371103286743,0.8421052694320679,0.6611111164093018,0.41,0.866349458694458,0.6694444417953491,0.029719123616814613,0.6545454859733582,0.8888888955116272,0.8531237840652466,0.8564472198486328,0.8133333325386047,0.6333333253860474,21,0.8547822833061218,0.33,0.8947368264198303,0.029918216168880463,0.644444465637207,0.75236976146698,0.6777777671813965,0.8640933632850647,0.8608163595199585,0.6738248467445374,0.7387011051177979,0.02935372292995453,1,0.7200000286102295,0.8618489503860474
classifier_adapter_bert_ms,0,32eh1wb4,0.8634385466575623,0.6777777671813965,0.02984706312417984,0.8650339841842651,0.7837837934494019,0.6537036895751953,0.746081531047821,0.857781171798706,0.8061894178390503,0.8618489503860474,0.02935372479259968,0.7610722780227661,0.6333333253860474,0.692307710647583,0.8542841076850891,0.8311854600906372,0.820804238319397,0.6777778267860413,0.8311854600906372,0.7134503126144409,0.030093735083937645,0.665523111820221,0.8531237840652466,0.6611111164093018,0.6428571939468384,0.800000011920929,0.8554474711418152,0.8061894178390503,0.6722222566604614,0.7619048357009888,0.6611111760139465,0.3,0.8650339841842651,0.6694444417953491,0.029549619182944294,0.7307692766189575,0.7272727489471436,0.8531237840652466,0.8554474711418152,0.7530864477157593,0.6000000238418579,22,0.8542841076850891,0.33,0.8561151027679443,0.029598340392112732,0.644444465637207,0.7374377846717834,0.6777778267860413,0.8634385466575623,0.857781171798706,0.6666203737258911,0.7170140743255615,0.02902483195066452,1,0.8636363744735718,0.8618489503860474
